retrieved	oa_status	doi	bioproject	title
x	closed	10.1111/pce.14195	PRJNA631873	Transcriptome of Fusarium graminearum CS3005
x	closed	10.1111/jipb.13772	PRJNA1148379	RNA-seq of Phakopsora pachyrhizi SS4
wrong paper cancer	closed	10.1016/j.gene.2014.06.029	PRJNA245071	RNAseq analyses of pathogenic Burkholderia glumae under in vitro and in vivo conditions
x	closed	10.1111/ppl.70702	PRJNA1246341	Genomic identification and pathogenicity of Ralstonia pseudosolanacearum MSG-1 isolated from mulberry tree in China
x	closed	10.1111/1462-2920.15432	PRJNA527147	Infection process of Ustilaginoidea virens Raw sequence reads
x	closed	10.1094/PDIS-06-20-1329-RE	PRJEB19257	Role assessment of the type VI secretion systems during disease interactions of Erwinia amylovora with its plant host by comparing the in planta and in vitro RNA-seq transcriptomes of wildtype CFBP 1430 and its T6SS double mutant (T6-d1d3)
x	closed	10.1016/j.foodres.2022.111972	PRJNA839570	Transcriptome of Salmonella montevideo on red pepper
no results	closed	10.1101/2026.02.17.706082	PRJNA1394492	Wheat leaf rust genomics project
x	closed	10.1094/PHYTO-01-21-0032-R	PRJNA731618	Dual RNA-seq reveals the global transcriptome dynamics of Ralstonia solanacearum and pepper (Capsicum annuum) hypocotyls during bacterial wilt pathogenesis
x	closed	10.1094/PHYTO-09-21-0393-R	PRJEB6937	Peronospora tabacina whole genome and transcriptome analyses
x	closed	10.1111/ppa.13597	PRJNA811762	BNYVV population sequencing
x	closed	10.1094/PDIS-03-25-0599-PDN	PRJNA1237933	hydrangea leaf mixing
paywall	closed	10.1099/jgv.0.001525	PRJDB10741	Determination of the genome sequence of tulip streak virus
x	closed	10.1016/j.plaphy.2025.110662	PRJNA1243574	transcriptome data of Prunus domestica L
x	closed	10.1016/j.plaphy.2025.109874	PRJNA1189193	Transcriptome of salt and alkali stresses in three species of Hordeum Raw sequence reads
x	closed	10.1016/j.plaphy.2018.08.006	PRJNA480999	Transcriptomic comparison of two barley genotypes differing in arsenic tolerance exposed to arsenate and phosphate treatments
x	closed	10.1016/j.molp.2026.01.005	PRJNA1214325	Transcriptome sequencing for WT and OsGH18 transgenic plants
x	closed	10.1093/jxb/erad348	PRJNA926628	Barley shows reduced Fusarium head blight under drought and modular expression of differentially expressed genes under combined stress.
x	closed	10.1093/plphys/kiad460	PRJNA896566	
x	closed	10.1126/science.aba5435	PRJNA540081	Horizontal gene transfer of Fhb7 from fungus underlies Fusarium head blight resistance in wheat.
x	closed	10.1111/pce.15622	PRJNA1156254	Role of FpCBS in Fusarium pseudograminearum
x	closed	10.1111/pce.13803	PRJNA516527	RNA sequencing of natural senescing ear leaves of maize
x	closed	10.1093/jxb/eraf473	PRJNA1123450	Characterization of the maize (Zea mays)-Ustilago maydis interaction in a warming climate
x	closed	10.1093/jxb/eraf432	PRJNA1265690	RNAseq profiling of eds1 and pad4 mutants inoculated by fungus Alternaria alternata in Arabidopsis
x	closed	10.1111/nph.18277	PRJNA755600	Functional characterization of plant histone methyl transferases
x	closed	10.1007/s00122-021-03784-4	PRJNA613891	Maize roots respond to salt stress
x	closed	10.1094/phyto-08-21-0329-r	PRJNA789389	Glycine max (soybean) and its fungal pathogen Sclerotinia sclerotiorum Raw sequence reads
paywall	closed	10.1038/s41477-019-0509-6	PRJNA491716	Multiple genes recruited from hormone pathways partition maize diterpenoid defences.
x	closed	10.1111/tpj.70182	PRJNA1006331	RNA-seq of incompatible and compatible interactions between wheat and Pst
no result	closed	10.1101/2026.02.24.707787	PRJNA1426942	Transcriptome of Chrysanthemum morifolium infected by Botrytis cinerea
x	closed	10.1111/1462-2920.15031	PRJNA480740	Solanum lycopersicum strain:RNAi SlSUC Raw sequence reads
x	closed	10.1016/j.ijfoodmicro.2026.111635	PRJNA1203036	Solanum lycopersicum L. Transcriptome
x	closed	10.1094/PHYTO-05-21-0184-A	PRJNA689677	Transcriptome analysis of Camellia sinensis infected by Lasiodiplodia theobromae by RNA sequencing
x	closed	10.1094/PHYTO-07-24-0240-R	PRJNA1122595	Variability in induced systemic resistance (ISR) responsiveness to Trichoderma harzianum in tomato
no result	closed	10.1101/2026.03.24.712282	PRJNA997093	Dual RNAseq analyses of the early stages of Phytophthora infestans pathogenesis reveal novel functional genes from the hosts and the pathogen
x	closed	10.1111/nph.16907	PRJNA606032	Regulation of carbon reserve use in olive trees under heat, drought, and recovery
x	closed	10.1021/acs.jafc.6c00147	PRJNA1416819	Transcriptome analysis of the interaction between rice and Rhizoctonia solani
x	closed	10.1002/ps.70786	PRJNA1139942	Dual Transcriptomic of Oil Tea (Camellia oleifera) and Colletotrichum fructicola Interaction
x	closed	10.1111/jipb.13732	PRJNA1036172	A pair of NUCLEAR FACTOR Y transcription factors act as positive regulators in jasmonate signaling and disease resistance in Arabidopsis
x	closed	10.1016/j.foodchem.2020.127550	PRJNA782220	Triticum aestivum cultivar:H242/H189 Raw sequence reads
x	closed	10.5061/dryad.v6wwpzh20	PRJNA976033	Similar Transcriptomic Responses to Early and Late Drought Stresses Produce Divergent Phenotypes in Sunflower (Helianthus annuus L.).
x	closed	10.1126/science.adl5764	PRJNA1181513	Impact of the effector MoNUDIX from Magnaporthe oryzae on the transcripts of rice (Nipponbare) during infection
no result	closed	10.1101/2026.08.07.743458	PRJDB16420	RNA sequencing of barley leaves infected with wheat blast isolate
x	closed	10.1111/jac.70189	PRJNA1307747	Zea mays cultivar:SY-XT1 Raw sequence reads
x	closed	10.1111/nph.14960	PRJNA415355	Transcriptome of Ustilago maydis during tumour formation in bundle sheath and mesophyll cells of Zea mays L.
x	closed	10.1038/nature25966	PRJNA383416	Zea mays Raw sequence reads
x	closed	10.1111/pce.15039	PRJNA1039520	Arabidopsis thaliana Raw sequence reads
x	closed	10.1038/s41588-019-0425-8	PRJNA515933	A Deletion Mutation in TaHRC Confers Fhb1 Resistance to Fusarium Head Blight in Wheat
	closed	10.1016/j.cub.2026.01.001	PRJNA1211198	RNA-seq of wheat plants
