bp	setting	n_runs	coinf_rate	coinf_rate_hc
PRJNA297402	lab	2	0.0	0.0
PRJNA1088402	lab	2	0.0	0.0
PRJNA1187605	lab	3	0.0	0.0
PRJNA325493	lab	6	0.0	0.0
PRJNA743515	lab	5	0.0	0.0
PRJNA372593	lab	1	0.0	0.0
PRJNA372596	lab	1	0.0	0.0
PRJNA372576	lab	1	0.0	0.0
PRJNA373348	lab	1	0.0	0.0
PRJNA391093	lab	3	0.0	0.0
PRJNA861388	lab	1	0.0	0.0
PRJNA230463	lab	1	0.0	0.0
PRJNA296349	lab	6	0.0	0.0
PRJNA669466	field	2	0.0	0.0
PRJNA372571	lab	1	0.0	0.0
PRJNA1065649	lab	1	0.0	0.0
PRJEB19257	lab	2	0.0	0.0
PRJNA441173	lab	1	0.0	0.0
PRJNA372584	lab	1	0.0	0.0
PRJNA372573	lab	1	0.0	0.0
PRJNA373356	lab	1	0.0	0.0
PRJNA587128	field	4	0.0	0.0
PRJNA764088	lab	1	0.0	0.0
PRJNA294234	field	1	0.0	0.0
PRJNA441166	lab	1	0.0	0.0
PRJNA147097	lab	2	0.0	0.0
PRJNA373350	lab	1	0.0	0.0
PRJNA971132	lab	1	0.0	0.0
PRJNA660623	lab	3	0.0	0.0
PRJNA373355	lab	1	0.0	0.0
PRJNA373352	lab	1	0.0	0.0
PRJNA373360	lab	1	0.0	0.0
PRJNA373358	lab	1	0.0	0.0
PRJNA810452	lab	1	0.0	0.0
PRJNA1205778	lab	1	0.0	0.0
PRJNA372578	lab	1	0.0	0.0
PRJNA372586	lab	1	0.0	0.0
PRJNA877037	lab	1	0.0	0.0
PRJNA441159	lab	1	0.0	0.0
PRJNA293109	lab	3	0.0	0.0
PRJNA1018533	lab	2	0.0	0.0
PRJNA373346	lab	1	0.0	0.0
PRJNA389503	lab	1	0.0	0.0
PRJNA1121488	lab	1	0.0	0.0
PRJNA234029	lab	1	0.0	0.0
PRJNA979975	lab	1	0.0	0.0
PRJNA372583	lab	1	0.0	0.0
PRJNA956133	lab	1	0.0	0.0
PRJNA441174	lab	1	0.0	0.0
PRJNA372575	lab	1	0.0	0.0
PRJNA1389356	lab	1	0.0	0.0
PRJNA441168	lab	1	0.0	0.0
PRJNA441160	lab	1	0.0	0.0
PRJNA372595	lab	1	0.0	0.0
PRJNA631873	lab	1	0.0	0.0
PRJNA1498604	lab	1	0.0	0.0
PRJNA1025922	lab	1	0.0	0.0
PRJNA408529	lab	1	0.0	0.0
PRJNA833778	lab	1	0.0	0.0
PRJNA441156	lab	1	0.0	0.0
PRJNA441169	lab	1	0.0	0.0
PRJNA372581	lab	1	0.0	0.0
PRJNA373364	lab	1	0.0	0.0
PRJNA279922	lab	1	0.0	0.0
PRJNA372592	lab	1	0.0	0.0
PRJNA408460	lab	1	0.0	0.0
PRJNA237967	lab	2	0.0	0.0
PRJNA373357	lab	1	0.0	0.0
PRJNA373362	lab	1	0.0	0.0
PRJNA318835	lab	1	0.0	0.0
PRJNA372597	lab	1	0.0	0.0
PRJNA372572	lab	1	0.0	0.0
PRJNA441176	lab	1	0.0	0.0
PRJNA373351	lab	1	0.0	0.0
PRJNA373359	lab	1	0.0	0.0
PRJNA906097	lab	1	0.0	0.0
PRJNA373347	lab	1	0.0	0.0
PRJNA492254	lab	1	0.0	0.0
PRJNA408458	lab	1	0.0	0.0
PRJNA372570	lab	1	0.0	0.0
PRJNA809650	lab	1	0.0	0.0
PRJNA372594	lab	1	0.0	0.0
PRJNA372588	lab	1	0.0	0.0
PRJNA896582	lab	2	0.0	0.0
PRJNA372590	lab	1	0.0	0.0
PRJEB6937	lab	1	0.0	0.0
PRJNA381081	lab	1	0.0	0.0
PRJNA564465	lab	1	0.0	0.0
PRJNA372577	lab	1	0.0	0.0
PRJNA516233	lab	2	0.0	0.0
PRJNA1422174	lab	1	0.0	0.0
PRJNA372587	lab	1	0.0	0.0
PRJNA556551	lab	12	0.0	0.0
PRJNA597539	field	2	0.0	0.0
PRJNA575278	field	2	0.0	0.0
PRJNA601749	lab	13	0.0	0.0
PRJNA1203667	lab	2	0.0	0.0
PRJNA1220327	lab	1	0.0	0.0
PRJNA892893	lab	6	0.0	0.0
PRJNA816480	lab	2	0.0	0.0
PRJEB75479	lab	2	0.0	0.0
PRJNA1331714	field	1	0.0	0.0
PRJNA861798	field	1	0.0	0.0
PRJEB9490	lab	2	0.0	0.0
PRJDB10741	field	1	0.0	0.0
PRJNA271201	lab	1	0.0	0.0
PRJNA530979	field	1	0.0	0.0
PRJNA524449	field	1	0.0	0.0
PRJNA996293	field	1	0.0	0.0
PRJDB16961	field	1	0.0	0.0
PRJNA901343	lab	2	0.0	0.0
PRJNA327437	lab	18	0.0	0.0
PRJNA1041741	lab	69	0.0	0.0
PRJNA473829	lab	559	0.0	0.0
PRJNA327013	lab	5	0.0	0.0
PRJNA721951	lab	10	0.0	0.0
PRJNA605241	lab	5	0.0	0.0
PRJNA1188982	lab	3	0.0	0.0
PRJNA640476	lab	3	0.0	0.0
PRJNA1123450	lab	54	0.0	0.0
PRJNA804213	lab	99	0.0	0.0
PRJDB39419	lab	4	0.0	0.0
PRJNA977839	lab	9	0.0	0.0
PRJNA1129295	lab	5	0.0	0.0
PRJNA603232	lab	1	0.0	0.0
PRJNA1195373	lab	19	0.0	0.0
PRJNA918399	lab	21	0.0	0.0
PRJNA477359	lab	12	0.0	0.0
PRJNA695871	lab	2	0.0	0.0
PRJEB39308	lab	14	0.0	0.0
PRJNA1424250	lab	16	0.0	0.0
PRJNA1465640	lab	24	0.0	0.0
PRJNA321917	lab	6	0.0	0.0
PRJNA733070	lab	3	0.0	0.0
PRJNA1240218	lab	14	0.0	0.0
PRJNA1022321	lab	9	0.0	0.0
PRJNA562996	lab	1	0.0	0.0
PRJNA563186	lab	6	0.0	0.0
PRJNA1013336	lab	26	0.0	0.0
PRJNA1203349	lab	3	0.0	0.0
PRJNA1270936	lab	8	0.0	0.0
PRJNA1265690	lab	2	0.0	0.0
PRJNA1108053	lab	12	0.0	0.0
PRJNA509214	lab	55	0.0	0.0
PRJEB79854	lab	1	0.0	0.0
PRJNA1190367	lab	6	0.0	0.0
PRJNA471709	lab	18	0.0	0.0
PRJNA974369	lab	45	0.0	0.0
PRJDB37035	lab	4	0.0	0.0
PRJNA417591	lab	2	0.0	0.0
PRJNA1371123	lab	6	0.0	0.0
PRJEB55600	lab	33	0.0	0.0
PRJNA957910	lab	6	0.0	0.0
PRJNA1394332	lab	3	0.0	0.0
PRJNA830457	lab	9	0.0	0.0
PRJDB5533	lab	4	0.0	0.0
PRJNA308408	lab	9	0.0	0.0
PRJNA918425	lab	6	0.0	0.0
PRJNA1144135	lab	8	0.0	0.0
PRJNA1015113	lab	12	0.0	0.0
PRJNA610066	lab	3	0.0	0.0
PRJNA1326257	lab	2	0.0	0.0
PRJNA423161	lab	5	0.0	0.0
PRJNA795871	lab	6	0.0	0.0
PRJNA1428298	lab	14	0.0	0.0
PRJNA293283	lab	1	0.0	0.0
PRJNA938065	lab	6	0.0	0.0
PRJNA1031966	lab	6	0.0	0.0
PRJNA575005	lab	2	0.0	0.0
PRJNA542779	lab	2	0.0	0.0
PRJNA755600	lab	6	0.0	0.0
PRJNA681568	lab	2	0.0	0.0
PRJNA662936	lab	15	0.0	0.0
PRJNA893349	lab	2	0.0	0.0
PRJNA1073691	lab	9	0.0	0.0
PRJNA738872	lab	4	0.0	0.0
PRJEB88178	lab	34	0.0	0.0
PRJNA854090	lab	6	0.0	0.0
PRJNA495475	lab	1	0.0	0.0
PRJNA786267	lab	7	0.0	0.0
PRJNA679433	lab	9	0.0	0.0
PRJNA731024	field	48	0.0	0.0
PRJNA261444	lab	2	0.0	0.0
PRJNA1035538	lab	3	0.0	0.0
PRJNA1322505	lab	10	0.0	0.0
PRJNA810908	lab	1	0.0	0.0
PRJNA714266	lab	1	0.0	0.0
PRJNA633718	lab	13	0.0	0.0
PRJNA1120176	lab	4	0.0	0.0
PRJNA566098	lab	5	0.0	0.0
PRJNA1015548	lab	3	0.0	0.0
PRJNA1103879	lab	6	0.0	0.0
PRJNA831331	lab	1	0.0	0.0
PRJNA789389	lab	5	0.0	0.0
PRJNA471653	lab	1	0.0	0.0
PRJNA869950	lab	4	0.0	0.0
PRJNA414570	lab	6	0.0	0.0
PRJNA505650	lab	5	0.0	0.0
PRJNA540228	lab	23	0.0	0.0
PRJNA759653	lab	4	0.0	0.0
PRJNA808784	lab	2	0.0	0.0
PRJNA861273	lab	1	0.0	0.0
PRJNA1455163	lab	1	0.0	0.0
PRJNA767817	lab	4	0.0	0.0
PRJNA766564	lab	5	0.0	0.0
PRJNA1321556	lab	2	0.0	0.0
PRJNA896583	lab	10	0.0	0.0
PRJNA1414443	lab	5	0.0	0.0
PRJNA884711	lab	1	0.0	0.0
PRJNA1101865	lab	8	0.0	0.0
PRJNA824616	lab	3	0.0	0.0
PRJNA683746	lab	1	0.0	0.0
PRJNA623526	lab	8	0.0	0.0
PRJNA1255829	lab	4	0.0	0.0
PRJNA281236	field	12	0.0	0.0
PRJNA819267	lab	6	0.0	0.0
PRJNA1135242	lab	2	0.0	0.0
PRJNA1314400	lab	8	0.0	0.0
PRJNA1080050	lab	1	0.0	0.0
PRJNA738667	lab	1	0.0	0.0
PRJNA998578	lab	11	0.0	0.0
PRJNA488315	field	2	0.0	0.0
PRJNA1094674	lab	1	0.0	0.0
PRJNA978953	lab	7	0.0	0.0
PRJNA1006331	lab	7	0.0	0.0
PRJNA1112547	lab	10	0.0	0.0
PRJNA1102319	lab	6	0.0	0.0
PRJNA1470446	lab	6	0.0	0.0
PRJNA1457471	lab	7	0.0	0.0
PRJEB94937	lab	17	0.0	0.0
PRJNA1216614	lab	4	0.0	0.0
PRJNA1426942	lab	10	0.0	0.0
PRJNA832802	lab	15	0.0	0.0
PRJNA808232	lab	5	0.0	0.0
PRJNA1211507	lab	1	0.0	0.0
PRJDB34659	lab	4	0.0	0.0
PRJEB24521	lab	6	0.0	0.0
PRJNA434179	lab	1	0.0	0.0
PRJNA1135933	lab	24	0.0	0.0
PRJEB42393	lab	1	0.0	0.0
PRJNA480740	lab	4	0.0	0.0
PRJNA1171632	lab	1	0.0	0.0
PRJNA492966	lab	1	0.0	0.0
PRJNA788379	lab	2	0.0	0.0
PRJNA1219206	lab	1	0.0	0.0
PRJNA331148	lab	3	0.0	0.0
PRJNA471157	lab	3	0.0	0.0
PRJNA902094	lab	1	0.0	0.0
PRJNA339424	lab	1	0.0	0.0
PRJNA1079030	lab	4	0.0	0.0
PRJNA836253	lab	3	0.0	0.0
PRJNA1086032	lab	1	0.0	0.0
PRJNA360515	lab	5	0.0	0.0
PRJNA1069975	lab	6	0.0	0.0
PRJNA357202	lab	3	0.0	0.0
PRJNA717217	lab	9	0.0	0.0
PRJNA1221348	lab	2	0.0	0.0
PRJNA1226203	lab	4	0.0	0.0
PRJNA1276321	lab	2	0.0	0.0
