run	biosample	rank	n_pathogens	n_cryptic	coinfection	declared_taxids	declared_names	stress	setting	coinf_intent
ERR13149105	SAMEA115652375	species	8	7	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13149105	SAMEA115652375	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13149129	SAMEA115652376	species	6	5	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13149129	SAMEA115652376	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13149232	SAMEA115652377	species	8	7	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13149232	SAMEA115652377	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13150701	SAMEA115652378	species	11	10	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13150701	SAMEA115652378	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13150773	SAMEA115652380	species	6	5	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13150773	SAMEA115652380	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
