run	analyzed	fungi_pct	viruses_pct	bacteria_pct	oomycota_pct	nematoda_pct
ERR789370	27577933	0.0	0.0	1.3346	0.0	0.0
ERR11403674	8419085	0.3787	0.0	90.246	0.0	0.0
ERR6548341	43761434	0.0	0.0	0.6663	0.0	0.0
SRR11214565	15917171	4.6754	0.0	0.3472	0.0	0.0
SRR21386572	48519065	0.7507	0.0	0.3768	0.0	0.0
ERR15005529	31500573	7.6418	0.5444	9.2844	0.0	0.0
ERR4315224	21188936	0.0	0.0	6.8543	0.0	0.0
SRR23815958	24644765	56.1804	0.0	5.4814	0.0	0.0
SRR29057030	20735368	71.1129	0.3372	6.5783	0.0	0.0
SRR30606508	45237018	12.7414	0.0	0.7135	0.0	0.0
ERR5928172	15647865	6.2396	0.0	2.3229	0.0	0.0
SRR11214582	14281133	33.9732	0.0	0.409	0.0	0.0
ERR3500506	51907467	0.2883	0.0	5.0653	0.0	0.0
SRR26501286	13470150	6.877	0.0	1.4269	0.0	0.0
SRR29056972	21419647	30.9478	0.0	3.1556	0.0	0.0
SRR29057051	14919209	67.184	0.0	4.1602	0.0	0.0
ERR12013033	12321162	40.8483	0.0	7.2766	0.0	0.0
SRR10406083	44979674	0.7118	0.0	0.2881	0.0	0.0
SRR11214665	23314907	69.3883	0.0	0.2552	0.0	0.0
SRR12151508	113209054	0.0	0.0	77.0532	0.0	0.0
SRR8569207	239532	0.0	0.0	70.4457	0.0	0.0
SRR8465309	141966967	0.0	0.0	0.6802	0.0	0.0
SRR12969770	75166518	1.0414	0.0	2.4327	0.0	0.0
ERR5928164	16587462	0.0	0.0	5.309	0.0	0.0
SRR11216262	31485304	0.7023	0.0	0.0	0.0	0.0
SRR28258197	21941210	80.7273	0.0	0.3378	0.0	0.0
SRR34414161	31965766	0.2506	0.0	0.9896	0.0	0.0
SRR13349975	51157482	27.5108	0.0	0.4393	0.0	0.0
SRR18253557	61285984	0.0	0.0	0.5055	0.0	0.0
SRR17893321	34110504	37.7373	0.0	6.8028	0.0	0.0
ERR1607754	21224037	1.5545	0.0	1.6725	0.0	0.0
SRR32908647	33240905	0.0	0.0	0.7711	0.0	0.0
SRR12676679	45479610	13.6946	0.0	0.841	0.0	0.0
SRR8895008	68395648	1.9724	0.0	0.4931	0.0	0.0
SRR18253550	59611870	0.0	0.0	0.3978	0.0	0.0
SRR27482759	60456997	0.0	0.7242	1.5121	0.0	0.0
SRR12319306	940434	27.3787	0.0	0.855	0.0	0.0
ERR14216451	25775310	0.9257	0.0	3.8769	0.0	0.0
ERR1607773	26357117	0.333	0.0	0.2079	0.0	0.0
SRR34575251	26905390	30.0212	0.0	1.3081	0.0	0.0
SRR28258156	34540580	84.1498	0.0	0.9399	0.0	0.0
ERR868338	36026736	0.0	0.0	0.0	0.0	0.0
SRR32972606	19540234	0.0	0.4117	14.4242	0.0	0.0
ERR1224581	24534136	0.0	0.0	1.8945	0.0	0.0
ERR1224554	17603551	0.0	0.0	4.3653	0.0	0.0
ERR4315245	19579473	1.3437	0.0	11.1769	0.0	0.0
