accession	tissue_raw	tissue_category
SAMN20980402	Anther	aerial_other
SAMN20980401	Anther	aerial_other
SAMN20980400	Anther	aerial_other
SAMN20980399	Anther	aerial_other
SAMN20980398	Anther	aerial_other
SAMN20980397	Anther	aerial_other
SAMN20980396	Anther	aerial_other
SAMN20980395	Anther	aerial_other
SAMN20980394	Anther	aerial_other
SAMEA104170251	mature leaf	leaf
SAMEA104170228	leaf	leaf
SAMN36734018	leaf	leaf
SAMN50287422	Stem	aerial_other
SAMN50287421	Stem	aerial_other
SAMN50287420	Stem	aerial_other
SAMN50287419	Stem	aerial_other
SAMN50287418	Stem	aerial_other
SAMN50287417	Stem	aerial_other
SAMN50287416	Stem	aerial_other
SAMN50205103	Leaves	leaf
SAMN50205102	Leaves	leaf
SAMN50205101	Leaves	leaf
SAMN43144686	leaf	leaf
SAMN43144685	leaf	leaf
SAMN43144684	leaf	leaf
SAMN43144683	leaf	leaf
SAMN43144682	leaf	leaf
SAMN43144681	leaf	leaf
SAMN50024579	Leaf	leaf
SAMN50024578	Leaf	leaf
SAMN50024577	Leaf	leaf
SAMN50024576	Leaf	leaf
SAMN50024575	Leaf	leaf
SAMN50024574	Leaf	leaf
SAMN50024573	Leaf	leaf
SAMN50024572	Leaf	leaf
SAMN50024571	Leaf	leaf
SAMN50024570	Leaf	leaf
SAMN50024569	Leaf	leaf
SAMN50024568	Leaf	leaf
SAMN50024567	Leaf	leaf
SAMN50024566	Leaf	leaf
SAMN50024565	Leaf	leaf
SAMN50024564	Leaf	leaf
SAMN50024563	Leaf	leaf
SAMN50024562	Leaf	leaf
SAMN50098160	leaf	leaf
SAMN29181054	leaf	leaf
SAMN29181053	leaf	leaf
SAMN34246917	leaf	leaf
SAMN34246916	leaf	leaf
SAMN34246915	leaf	leaf
SAMN34246914	leaf	leaf
SAMN34246913	leaf	leaf
SAMN34246912	leaf	leaf
SAMN34246911	leaf	leaf
SAMN34246910	leaf	leaf
SAMN34246909	leaf	leaf
SAMN34246908	leaf	leaf
SAMN34246907	leaf	leaf
SAMN34246906	leaf	leaf
SAMN34246905	leaf	leaf
SAMN34246904	leaf	leaf
SAMN34246903	leaf	leaf
SAMN49973126	leaves	leaf
SAMN46044074	anther	aerial_other
SAMN46044073	anther	aerial_other
SAMN46044072	anther	aerial_other
SAMN46044071	anther	aerial_other
SAMN46044070	anther	aerial_other
SAMN46044069	anther	aerial_other
SAMN46044068	anther	aerial_other
SAMN46044067	anther	aerial_other
SAMN46044066	anther	aerial_other
SAMN46044065	anther	aerial_other
SAMN46044064	anther	aerial_other
SAMN46044063	anther	aerial_other
SAMN46044062	anther	aerial_other
SAMN46044061	anther	aerial_other
SAMN46044060	anther	aerial_other
SAMN46044059	anther	aerial_other
SAMN46044058	anther	aerial_other
SAMN46044057	anther	aerial_other
SAMN42340773	flower	aerial_other
SAMN42340772	flower	aerial_other
SAMN42340771	flower	aerial_other
SAMN42340770	flower	aerial_other
SAMN42340769	flower	aerial_other
SAMN42340768	flower	aerial_other
SAMN42340767	flower	aerial_other
SAMN42340766	flower	aerial_other
SAMN42340765	flower	aerial_other
SAMN42340764	flower	aerial_other
SAMN42340763	flower	aerial_other
SAMN42340762	flower	aerial_other
SAMN42358585	The second leaves	leaf
SAMN42358584	The second leaves	leaf
SAMN42358583	The second leaves	leaf
SAMN42358582	The second leaves	leaf
SAMN42358581	The second leaves	leaf
SAMN42358580	The second leaves	leaf
SAMN42358579	The second leaves	leaf
SAMN42358578	The second leaves	leaf
SAMN42358577	The second leaves	leaf
SAMN42358576	The second leaves	leaf
SAMN42358575	The second leaves	leaf
SAMN42358574	The second leaves	leaf
SAMN42358573	The second leaves	leaf
SAMN42358572	The second leaves	leaf
SAMN42358571	The second leaves	leaf
SAMN42358570	The second leaves	leaf
SAMN42358569	The second leaves	leaf
SAMN42358568	The second leaves	leaf
SAMN42358567	The second leaves	leaf
SAMN42358566	The second leaves	leaf
SAMN42358565	The second leaves	leaf
SAMN42358564	The second leaves	leaf
SAMN42358563	The second leaves	leaf
SAMN42358562	The second leaves	leaf
SAMN46124230	leaves	leaf
SAMN46124229	leaves	leaf
SAMN46124228	leaves	leaf
SAMN46124227	leaves	leaf
SAMN46124226	leaves	leaf
SAMN46124225	leaves	leaf
SAMN46124224	leaves	leaf
SAMN46124223	leaves	leaf
SAMN47866923	leaf	leaf
SAMN47866922	leaf	leaf
SAMN47866921	leaf	leaf
SAMN47866920	leaf	leaf
SAMN47866919	leaf	leaf
SAMN47866918	leaf	leaf
SAMN47866917	leaf	leaf
SAMN47866916	leaf	leaf
SAMN47866915	leaf	leaf
SAMN47866914	leaf	leaf
SAMN47866913	leaf	leaf
SAMN47866912	leaf	leaf
SAMN47866911	leaf	leaf
SAMN47866910	leaf	leaf
SAMN47866909	leaf	leaf
SAMN47866908	leaf	leaf
SAMN47866907	leaf	leaf
SAMN47866906	leaf	leaf
SAMN47866905	leaf	leaf
SAMN47866904	leaf	leaf
SAMN47866903	leaf	leaf
SAMN36459021	Floral bud	aerial_other
SAMN36459020	Floral bud	aerial_other
SAMN36459019	Floral bud	aerial_other
SAMN36459018	Mature leaf	leaf
SAMN36459017	Mature leaf	leaf
SAMN36459016	Mature leaf	leaf
SAMN36459015	Young leaf	leaf
SAMN36459014	Young leaf	leaf
SAMN36459013	Young leaf	leaf
SAMN41007872	leaf	leaf
SAMN41007575	leaf	leaf
SAMN40936689	leave	leaf
SAMN40936688	leave	leaf
SAMN40936687	leave	leaf
SAMD01596534	Flower	aerial_other
SAMD01596533	Flower	aerial_other
SAMN48088555	Leaves	leaf
SAMN48088554	Leaves	leaf
SAMN48088552	Leaves	leaf
SAMN48088551	Leaves	leaf
SAMN48088550	Leaves	leaf
SAMN48088549	Leaves	leaf
SAMN48088547	Leaves	leaf
SAMN48088546	Leaves	leaf
SAMN48088544	Leaves	leaf
SAMN48088543	Leaves	leaf
SAMN48088541	Leaves	leaf
SAMN48088540	Leaves	leaf
SAMN48975013	Leaf	leaf
SAMN48975012	Leaf	leaf
SAMN48975004	Leaf	leaf
SAMN48974311	Leaf	leaf
SAMN45230384	Stem	aerial_other
SAMN45230383	Stem	aerial_other
SAMN45230382	Stem	aerial_other
SAMN45230381	Stem	aerial_other
SAMN45230380	Stem	aerial_other
SAMN45230379	Stem	aerial_other
SAMN48907861	pith	aerial_other
SAMN48907860	pith	aerial_other
SAMN48907859	pith	aerial_other
SAMN48907858	pith	aerial_other
SAMN48907857	pith	aerial_other
SAMN48907856	pith	aerial_other
SAMN48907855	pith	aerial_other
SAMN48907854	pith	aerial_other
SAMN48907853	pith	aerial_other
SAMN48907852	pith	aerial_other
SAMN48907851	pith	aerial_other
SAMN48907850	pith	aerial_other
SAMN48907849	pith	aerial_other
SAMN48907848	pith	aerial_other
SAMN48907847	pith	aerial_other
SAMN48907846	pith	aerial_other
SAMN48907845	pith	aerial_other
SAMN48907844	pith	aerial_other
SAMN48907843	pith	aerial_other
SAMN48907842	pith	aerial_other
SAMN48907841	pith	aerial_other
SAMN48907840	pith	aerial_other
SAMN48907839	pith	aerial_other
SAMN48907838	pith	aerial_other
SAMN48904843	leaf	leaf
SAMN48904842	leaf	leaf
SAMN48904841	leaf	leaf
SAMN48904840	leaf	leaf
SAMN48904839	leaf	leaf
SAMN48904838	leaf	leaf
SAMN48904837	leaf	leaf
SAMN48904836	leaf	leaf
SAMN48904827	leaf	leaf
SAMN48904826	leaf	leaf
SAMN48904825	leaf	leaf
SAMN48904824	leaf	leaf
SAMN48904823	leaf	leaf
SAMN48904822	leaf	leaf
SAMN48904821	leaf	leaf
SAMN48904820	leaf	leaf
SAMN48904811	leaf	leaf
SAMN48904810	leaf	leaf
SAMN48904809	leaf	leaf
SAMN48904808	leaf	leaf
SAMN48904807	leaf	leaf
SAMN48904806	leaf	leaf
SAMN48904805	leaf	leaf
SAMN48904804	leaf	leaf
SAMN48901934	leaf	leaf
SAMN48901933	leaf	leaf
SAMN48901932	leaf	leaf
SAMN48901931	leaf	leaf
SAMN48901930	leaf	leaf
SAMN48901929	leaf	leaf
SAMN48901928	leaf	leaf
SAMN48872523	leaf	leaf
SAMN48872522	leaf	leaf
SAMN41500912	leaf	leaf
SAMN35525479	leaf	leaf
SAMN35525204	leaf	leaf
SAMN35524984	leaf	leaf
SAMN35524816	leaf	leaf
SAMN35453607	leaf	leaf
SAMN35453575	leaf	leaf
SAMN35453533	leaf	leaf
SAMN35453524	leaf	leaf
SAMN35453445	leaf	leaf
SAMN42801025	Spikelet	aerial_other
SAMN42801024	Spikelet	aerial_other
SAMN48595153	leaf	leaf
SAMN41108761	Stem	aerial_other
SAMN41108751	Stem	aerial_other
SAMN41108750	Inflorescence	aerial_other
SAMN41108748	Inflorescence	aerial_other
SAMN41108141	Inflorescence	aerial_other
SAMN48448529	leaf	leaf
SAMN48448528	leaf	leaf
SAMN48448527	leaf	leaf
SAMN48448526	leaf	leaf
SAMN48448525	leaf	leaf
SAMN48448524	leaf	leaf
SAMN48448523	leaf	leaf
SAMN48448522	leaf	leaf
SAMN48448521	leaf	leaf
SAMN48448520	leaf	leaf
SAMN48448519	leaf	leaf
SAMN48448518	leaf	leaf
SAMN48448517	leaf	leaf
SAMN48448516	leaf	leaf
SAMN48448515	leaf	leaf
SAMN48448514	leaf	leaf
SAMN48448513	leaf	leaf
SAMN48448512	leaf	leaf
SAMN03383675	shoot apex	aerial_other
SAMN37973476	leaf	leaf
SAMN37973475	leaf	leaf
SAMN37973401	stem	aerial_other
SAMN37973400	stem	aerial_other
SAMN37973398	leaf	leaf
SAMN37973396	flower	aerial_other
SAMN37973389	stem	aerial_other
SAMN37973388	stem	aerial_other
SAMN37973387	flower	aerial_other
SAMN37973385	leaf	leaf
SAMN37650996	leaf	leaf
SAMN37650995	leaf	leaf
SAMN37650985	leaf	leaf
SAMN37650984	leaf	leaf
SAMN37650865	tendril	aerial_other
SAMN37650864	stem	aerial_other
SAMN37650862	leaf	leaf
SAMN37650662	leaf	leaf
SAMN37650661	leaf	leaf
SAMN44480428	leave	leaf
SAMN44480427	leave	leaf
SAMN44480426	leave	leaf
SAMN44480425	flower	aerial_other
SAMN44480424	flower	aerial_other
SAMN44480423	flower	aerial_other
SAMN44480413	leave	leaf
SAMN44480412	leave	leaf
SAMN44480411	leave	leaf
SAMN44480410	flower	aerial_other
SAMN44480409	flower	aerial_other
SAMN44480408	flower	aerial_other
SAMN37910974	anther	aerial_other
SAMN37910973	anther	aerial_other
SAMN37910972	anther	aerial_other
SAMN37910971	anther	aerial_other
SAMN37910970	anther	aerial_other
SAMN37910969	anther	aerial_other
SAMN37910968	anther	aerial_other
SAMN37910967	anther	aerial_other
SAMN37910966	anther	aerial_other
SAMN37910965	anther	aerial_other
SAMN37910964	anther	aerial_other
SAMN37910963	anther	aerial_other
SAMN48076647	leaf	leaf
SAMD00565518	leaf	leaf
SAMD00565517	leaf	leaf
SAMD00565516	gall	aerial_other
SAMD00565515	gall	aerial_other
SAMD00565514	gall	aerial_other
SAMD00565513	gall	aerial_other
SAMD00565512	gall	aerial_other
SAMD00565511	gall	aerial_other
SAMD00565510	gall	aerial_other
SAMD00565509	gall	aerial_other
SAMD00565508	gall	aerial_other
SAMD00565507	gall	aerial_other
SAMD00565506	gall	aerial_other
SAMD00565505	gall	aerial_other
SAMD00565504	gall	aerial_other
SAMD00565503	gall	aerial_other
SAMD00565502	gall	aerial_other
SAMD00565501	gall	aerial_other
SAMD00565500	gall	aerial_other
SAMD00565499	gall	aerial_other
SAMD00565498	gall	aerial_other
SAMD00565497	gall	aerial_other
SAMD00565496	gall	aerial_other
SAMD00565495	gall	aerial_other
SAMD00565494	gall	aerial_other
SAMD00565493	gall	aerial_other
SAMD00565492	gall	aerial_other
SAMD00565491	gall	aerial_other
SAMD00565490	gall	aerial_other
SAMD00565489	gall	aerial_other
SAMD00565488	gall	aerial_other
SAMD00565487	gall	aerial_other
SAMD00565486	gall	aerial_other
SAMD00565485	gall	aerial_other
SAMD00565484	gall	aerial_other
SAMD00565483	gall	aerial_other
SAMD00565482	gall	aerial_other
SAMD00565481	gall	aerial_other
SAMD00565480	gall	aerial_other
SAMD00565479	gall	aerial_other
SAMD00565478	gall	aerial_other
SAMD00565477	gall	aerial_other
SAMD00565476	gall	aerial_other
SAMD00565475	gall	aerial_other
SAMD00565474	gall	aerial_other
SAMD00565473	gall	aerial_other
SAMD00565472	gall	aerial_other
SAMD00565471	gall	aerial_other
SAMN47951775	leaf	leaf
SAMN47951774	leaf	leaf
SAMN47951773	leaf	leaf
SAMN47951772	leaf	leaf
SAMN47951771	leaf	leaf
SAMN47951770	leaf	leaf
SAMN47931140	leaf	leaf
SAMN47931139	internode	aerial_other
SAMN47931138	flag leaf	leaf
SAMN47857698	leaf	leaf
SAMN47857697	leaf	leaf
SAMN47857696	leaf	leaf
SAMN47857695	leaf	leaf
SAMN47857694	leaf	leaf
SAMN47857693	leaf	leaf
SAMN47223691	Leaf	leaf
SAMN47223690	Leaf	leaf
SAMN47223689	Leaf	leaf
SAMN47223688	Leaf	leaf
SAMN47223687	Leaf	leaf
SAMN47223686	Leaf	leaf
SAMN47223685	Leaf	leaf
SAMN47223684	Leaf	leaf
SAMN47223683	Leaf	leaf
SAMN47223682	Leaf	leaf
SAMN47223681	Leaf	leaf
SAMN47223680	Leaf	leaf
SAMN47223679	Leaf	leaf
SAMN47223678	Leaf	leaf
SAMN47223677	Leaf	leaf
SAMN47223676	Leaf	leaf
SAMN27685465	leaf	leaf
SAMN33866426	flower	aerial_other
SAMN47747920	Leaves	leaf
SAMN47623583	Leaves	leaf
SAMN47623582	Leaves	leaf
SAMN47623581	Leaves	leaf
SAMN47623580	Leaves	leaf
SAMN47623579	Leaves	leaf
SAMN47623578	Leaves	leaf
SAMN47623577	Leaves	leaf
SAMN47623576	Leaves	leaf
SAMN47623575	Leaves	leaf
SAMN47623574	Leaves	leaf
SAMN47623573	Leaves	leaf
SAMN47623572	Leaves	leaf
SAMN47623559	Leaves	leaf
SAMN47623558	Leaves	leaf
SAMN47623557	Leaves	leaf
SAMN47623556	Leaves	leaf
SAMN47623555	Leaves	leaf
SAMN47623554	Leaves	leaf
SAMN47623553	Leaves	leaf
SAMN47623552	Leaves	leaf
SAMN47623551	Leaves	leaf
SAMN47623550	Leaves	leaf
SAMN47623549	Leaves	leaf
SAMN47623548	Leaves	leaf
SAMN47612882	leaf	leaf
SAMN47612881	leaf	leaf
SAMN47612880	leaf	leaf
SAMN47612879	leaf	leaf
SAMN47612878	leaf	leaf
SAMN47612877	leaf	leaf
SAMN47612876	leaf	leaf
SAMN47612875	leaf	leaf
SAMN47612874	leaf	leaf
SAMN47612873	leaf	leaf
SAMN47612872	leaf	leaf
SAMN47612871	leaf	leaf
SAMN47612870	leaf	leaf
SAMN47612869	leaf	leaf
SAMN47612868	leaf	leaf
SAMN47612867	leaf	leaf
SAMN47612866	leaf	leaf
SAMN47612865	leaf	leaf
SAMN47612864	leaf	leaf
SAMN47612863	leaf	leaf
SAMN47612862	leaf	leaf
SAMN47612861	leaf	leaf
SAMN47612860	leaf	leaf
SAMN47206129	Leaf	leaf
SAMN47206127	Leaf	leaf
SAMN47206125	Leaf	leaf
SAMN47206123	Leaf	leaf
SAMN27685515	leaf	leaf
SAMN20178321	floral bud	aerial_other
SAMN20178320	floral bud	aerial_other
SAMEA117793113	Leaf	leaf
SAMEA117793112	Leaf	leaf
SAMEA117793111	Leaf	leaf
SAMEA117793110	Apex	aerial_other
SAMEA117793109	Apex	aerial_other
SAMEA117793108	Apex	aerial_other
SAMEA117793065	Leaf	leaf
SAMEA117793064	Leaf	leaf
SAMEA117793063	Leaf	leaf
SAMEA117793062	Apex	aerial_other
SAMEA117793061	Apex	aerial_other
SAMEA117793060	Apex	aerial_other
SAMEA117793017	Leaf	leaf
SAMEA117793016	Leaf	leaf
SAMEA117793015	Leaf	leaf
SAMEA117793014	Apex	aerial_other
SAMEA117793013	Apex	aerial_other
SAMEA117793012	Apex	aerial_other
SAMEA117792969	Leaf	leaf
SAMEA117792968	Leaf	leaf
SAMEA117792967	Leaf	leaf
SAMEA117792966	Apex	aerial_other
SAMEA117792965	Apex	aerial_other
SAMEA117792964	Apex	aerial_other
SAMEA117792921	Leaf	leaf
SAMEA117792920	Leaf	leaf
SAMEA117792919	Leaf	leaf
SAMEA117792918	Apex	aerial_other
SAMEA117792917	Apex	aerial_other
SAMEA117792916	Apex	aerial_other
SAMN47283393	Young leaves	leaf
SAMN47283392	Young leaves	leaf
SAMN47283390	Young leaves	leaf
SAMN47283388	Young leaves	leaf
SAMN47283386	Young leaves	leaf
SAMN47283373	Young leaves	leaf
SAMN47294869	leaf	leaf
SAMN38094140	Young leaves	leaf
SAMN37989791	young leaves	leaf
SAMN47131734	leaf	leaf
SAMN47131733	leaf	leaf
SAMN47131732	leaf	leaf
SAMN47131731	leaf	leaf
SAMN47131730	leaf	leaf
SAMN47131729	leaf	leaf
SAMN47131728	leaf	leaf
SAMN47131727	leaf	leaf
SAMN47131726	leaf	leaf
SAMN47131725	leaf	leaf
SAMN47131724	leaf	leaf
SAMN47131723	leaf	leaf
SAMN47131722	leaf	leaf
SAMN47131721	leaf	leaf
SAMN47131720	leaf	leaf
SAMN47131719	leaf	leaf
SAMN47131718	leaf	leaf
SAMN47131717	leaf	leaf
SAMN47131716	leaf	leaf
SAMN47131715	leaf	leaf
SAMN47131714	leaf	leaf
SAMN47131713	leaf	leaf
SAMN47131712	leaf	leaf
SAMN47131711	leaf	leaf
SAMN47131710	leaf sheath	leaf
SAMN47131709	leaf sheath	leaf
SAMN47131708	leaf sheath	leaf
SAMN47131707	leaf sheath	leaf
SAMN47131706	leaf sheath	leaf
SAMN47131705	leaf sheath	leaf
SAMN47131704	leaf sheath	leaf
SAMN47131703	leaf sheath	leaf
SAMN47131702	leaf sheath	leaf
SAMN47131701	leaf sheath	leaf
SAMN47131700	leaf sheath	leaf
SAMN47131699	leaf sheath	leaf
SAMN47131698	leaf sheath	leaf
SAMN47131697	leaf sheath	leaf
SAMN47131696	leaf sheath	leaf
SAMN47131695	leaf sheath	leaf
SAMN47131694	leaf sheath	leaf
SAMN47131693	leaf sheath	leaf
SAMN47131692	leaf sheath	leaf
SAMN47131691	leaf sheath	leaf
SAMN47131690	leaf sheath	leaf
SAMN47131689	leaf sheath	leaf
SAMN47131688	leaf sheath	leaf
SAMN47131687	leaf sheath	leaf
SAMD00080640	young ear	aerial_other
SAMD00080639	young leaf	leaf
SAMD00114264	shoot	aerial_other
SAMD00114262	shoot	aerial_other
SAMD00094576	flower	aerial_other
SAMD00094575	flower	aerial_other
SAMD00094569	flower	aerial_other
SAMD00199281	stems	aerial_other
SAMD00199280	leaves	leaf
SAMD00199279	stems	aerial_other
SAMD00199278	leaves	leaf
SAMD00112924	terminal flower bud	aerial_other
SAMD00112923	terminal flower bud	aerial_other
SAMD00112922	terminal flower bud	aerial_other
SAMD00112921	terminal flower bud	aerial_other
SAMD00112920	terminal flower bud	aerial_other
SAMD00112919	terminal flower bud	aerial_other
SAMD00112918	terminal flower bud	aerial_other
SAMD00112917	terminal flower bud	aerial_other
SAMD00112916	terminal flower bud	aerial_other
SAMD00112915	terminal flower bud	aerial_other
SAMD00112914	terminal flower bud	aerial_other
SAMD00112913	terminal flower bud	aerial_other
SAMD00112912	terminal flower bud	aerial_other
SAMD00112911	terminal flower bud	aerial_other
SAMD00112910	terminal flower bud	aerial_other
SAMD00112909	terminal flower bud	aerial_other
SAMD00112908	terminal flower bud	aerial_other
SAMD00112907	terminal flower bud	aerial_other
SAMD00112906	terminal flower bud	aerial_other
SAMD00112905	terminal flower bud	aerial_other
SAMD00112904	terminal flower bud	aerial_other
SAMD00112903	terminal flower bud	aerial_other
SAMD00112902	terminal flower bud	aerial_other
SAMD00112901	terminal flower bud	aerial_other
SAMD00112900	terminal flower bud	aerial_other
SAMD00112899	terminal flower bud	aerial_other
SAMD00112898	terminal flower bud	aerial_other
SAMD00112897	terminal flower bud	aerial_other
SAMD00165402	aerial parts	aerial_other
SAMD00165401	aerial parts	aerial_other
SAMD00165400	aerial parts	aerial_other
SAMD00165399	aerial parts	aerial_other
SAMD00165398	aerial parts	aerial_other
SAMD00165397	aerial parts	aerial_other
SAMD00165396	aerial parts	aerial_other
SAMD00165395	aerial parts	aerial_other
SAMD00165394	aerial parts	aerial_other
SAMD00165393	aerial parts	aerial_other
SAMD00074405	needle	aerial_other
SAMD00074403	needle	aerial_other
SAMD00042841	leaf	leaf
SAMD00042840	leaf	leaf
SAMD00042839	leaf	leaf
SAMD00042838	leaf	leaf
SAMD00042837	leaf	leaf
SAMD00042836	leaf	leaf
SAMD00027203	young leaves	leaf
SAMD00022779	stem	aerial_other
SAMN47198444	tassel	aerial_other
SAMN47198443	tassel	aerial_other
SAMN47198442	tassel	aerial_other
SAMN47198441	tassel	aerial_other
SAMN47198440	tassel	aerial_other
SAMN47198439	tassel	aerial_other
SAMN43911591	flag leaf	leaf
SAMN43911590	flag leaf	leaf
SAMN43911589	flag leaf	leaf
SAMN43911588	flag leaf	leaf
SAMN43911587	flag leaf	leaf
SAMN43911586	flag leaf	leaf
SAMN43911585	flag leaf	leaf
SAMN43911584	flag leaf	leaf
SAMN43911583	flag leaf	leaf
SAMN40232515	flag leaf	leaf
SAMN40232514	flag leaf	leaf
SAMN40232513	flag leaf	leaf
SAMN40232512	flag leaf	leaf
SAMN40232511	flag leaf	leaf
SAMN40232510	flag leaf	leaf
SAMN35450864	leaf	leaf
SAMN33222125	leaves	leaf
SAMN33013207	leaves	leaf
SAMN33593293	leaf	leaf
SAMN22335628	leaf and stem	leaf
SAMN46862523	shoot tips	aerial_other
SAMN46862522	shoot tips	aerial_other
SAMN46862521	shoot tips	aerial_other
SAMN46862517	shoot tips	aerial_other
SAMN46862516	shoot tips	aerial_other
SAMN46862515	shoot tips	aerial_other
SAMN46972979	leaf	leaf
SAMN46972978	leaf	leaf
SAMN46972977	leaf	leaf
SAMN46972976	leaf	leaf
SAMN46972975	leaf	leaf
SAMN46972974	leaf	leaf
SAMN46972973	leaf	leaf
SAMN46972972	leaf	leaf
SAMN46972971	leaf	leaf
SAMN46972970	leaf	leaf
SAMN46972969	leaf	leaf
SAMN46972968	leaf	leaf
SAMN46972967	leaf	leaf
SAMN46972966	leaf	leaf
SAMN46972965	leaf	leaf
SAMN46972964	leaf	leaf
SAMN46972963	leaf	leaf
SAMN46972962	leaf	leaf
SAMN46870958	leaf	leaf
SAMN46870957	leaf	leaf
SAMN46870956	leaf	leaf
SAMN46870955	leaf	leaf
SAMN46870954	leaf	leaf
SAMN46870953	leaf	leaf
SAMN46870952	leaf	leaf
SAMN46870951	leaf	leaf
SAMN46870950	leaf	leaf
SAMN39864873	Leaf	leaf
SAMN39864872	Leaf	leaf
SAMN44628934	Spikelets	aerial_other
SAMN44628933	Spikelets	aerial_other
SAMN44628932	Spikelets	aerial_other
SAMN44628931	Spikelets	aerial_other
SAMN44628930	Spikelets	aerial_other
SAMN44628929	Spikelets	aerial_other
SAMN44628928	Spikelets	aerial_other
SAMN44628927	Spikelets	aerial_other
SAMN44628926	Spikelets	aerial_other
SAMN44628925	Spikelets	aerial_other
SAMN44628924	Spikelets	aerial_other
SAMN44628923	Spikelets	aerial_other
SAMN44628922	Spikelets	aerial_other
SAMN44628921	Spikelets	aerial_other
SAMN44628920	Spikelets	aerial_other
SAMN44628919	Spikelets	aerial_other
SAMN44628918	Spikelets	aerial_other
SAMN44628917	Spikelets	aerial_other
SAMN42447193	leaf	leaf
SAMN42447192	leaf	leaf
SAMN42447191	leaf	leaf
SAMN42447190	leaf	leaf
SAMN42447189	leaf	leaf
SAMN42447188	leaf	leaf
SAMN38528067	leaf	leaf
SAMN46042862	leaf	leaf
SAMN46042861	leaf	leaf
SAMN46042860	leaf	leaf
SAMN46413120	leaf	leaf
SAMN46413119	leaf	leaf
SAMN46413118	leaf	leaf
SAMN46413117	leaf	leaf
SAMN46413116	leaf	leaf
SAMN46413115	leaf	leaf
SAMN46413114	leaf	leaf
SAMN46413113	leaf	leaf
SAMN46413112	leaf	leaf
SAMN46413111	leaf	leaf
SAMN46413110	leaf	leaf
SAMN46413109	leaf	leaf
SAMN46413108	leaf	leaf
SAMN46413107	leaf	leaf
SAMN46413106	leaf	leaf
SAMN46413105	leaf	leaf
SAMN46413104	leaf	leaf
SAMN46413103	leaf	leaf
SAMN46413102	leaf	leaf
SAMN46413101	leaf	leaf
SAMN46413100	leaf	leaf
SAMN46413099	leaf	leaf
SAMN46413098	leaf	leaf
SAMN46413097	leaf	leaf
SAMN46413096	leaf	leaf
SAMN46413095	leaf	leaf
SAMN46413094	leaf	leaf
SAMN46413093	leaf	leaf
SAMN46413092	leaf	leaf
SAMN46413091	leaf	leaf
SAMN46413090	leaf	leaf
SAMN46413089	leaf	leaf
SAMN46413088	leaf	leaf
SAMN46413087	leaf	leaf
SAMN46413086	leaf	leaf
SAMN46413085	leaf	leaf
SAMN28458094	leaves	leaf
SAMN17394165	leaf	leaf
SAMN37526073	leaf	leaf
SAMN37526072	leaf	leaf
SAMN37526071	leaf	leaf
SAMN37526070	leaf	leaf
SAMN37526069	leaf	leaf
SAMN37526068	leaf	leaf
SAMN39206025	Leaf tissue from V4 stage	leaf
SAMN39206024	Leaf tissue from V4 stage	leaf
SAMN39206023	Leaf tissue from V4 stage	leaf
SAMN39206022	Leaf tissue from V4 stage	leaf
SAMN39206021	Leaf tissue from V4 stage	leaf
SAMN39206020	Leaf tissue from V4 stage	leaf
SAMN39206019	Leaf tissue from V4 stage	leaf
SAMN39206018	Leaf tissue from V4 stage	leaf
SAMN39206017	Leaf tissue from V4 stage	leaf
SAMN39206016	Leaf tissue from V4 stage	leaf
SAMN39206015	Leaf tissue from V4 stage	leaf
SAMN39206014	Leaf tissue from V4 stage	leaf
SAMN39206013	Leaf tissue from V4 stage	leaf
SAMN39206012	Leaf tissue from V4 stage	leaf
SAMN39206011	Leaf tissue from V4 stage	leaf
SAMN39206010	Leaf tissue from V4 stage	leaf
SAMN39206009	Leaf tissue from V4 stage	leaf
SAMN39206008	Leaf tissue from V4 stage	leaf
SAMN39206007	Leaf tissue from V4 stage	leaf
SAMN39206006	Leaf tissue from V4 stage	leaf
SAMN39206005	Leaf tissue from V4 stage	leaf
SAMN39206004	Leaf tissue from V4 stage	leaf
SAMN39206003	Leaf tissue from V4 stage	leaf
SAMN39206002	Leaf tissue from V4 stage	leaf
SAMN39206001	Leaf tissue from V4 stage	leaf
SAMN39206000	Leaf tissue from V4 stage	leaf
SAMN39205999	Leaf tissue from V4 stage	leaf
SAMN39205998	Leaf tissue from V4 stage	leaf
SAMN39205997	Leaf tissue from V4 stage	leaf
SAMN39205996	Leaf tissue from V4 stage	leaf
SAMN39205995	Leaf tissue from V4 stage	leaf
SAMN39205994	Leaf tissue from V4 stage	leaf
SAMN39205993	Leaf tissue from V4 stage	leaf
SAMN39205992	Leaf tissue from V4 stage	leaf
SAMN39205991	Leaf tissue from V4 stage	leaf
SAMN39205990	Leaf tissue from V4 stage	leaf
SAMN39205989	Leaf tissue from V4 stage	leaf
SAMN39205988	Leaf tissue from V4 stage	leaf
SAMN39205987	Leaf tissue from V4 stage	leaf
SAMN39205986	Leaf tissue from V4 stage	leaf
SAMN39205985	Leaf tissue from V4 stage	leaf
SAMN39205984	Leaf tissue from V4 stage	leaf
SAMN39205983	Leaf tissue from V4 stage	leaf
SAMN39205982	Leaf tissue from V4 stage	leaf
SAMN39205981	Leaf tissue from V4 stage	leaf
SAMN39205980	Leaf tissue from V4 stage	leaf
SAMN39205979	Leaf tissue from V4 stage	leaf
SAMN39205978	Leaf tissue from V4 stage	leaf
