accession	tissue_raw	tissue_category
SAMN22335694	leaf and stem	leaf
SAMN22335693	leaf and stem	leaf
SAMN22335692	leaf and stem	leaf
SAMN22335691	leaf and stem	leaf
SAMN22335690	leaf and stem	leaf
SAMN22335689	leaf and stem	leaf
SAMN22335687	leaf and stem	leaf
SAMN22335686	leaf and stem	leaf
SAMN22335685	leaf and stem	leaf
SAMN22335684	leaf and stem	leaf
SAMN22335683	leaf and stem	leaf
SAMN22335682	leaf and stem	leaf
SAMN22335681	leaf and stem	leaf
SAMN22335680	leaf and stem	leaf
SAMN22335679	leaf and stem	leaf
SAMN22335678	leaf and stem	leaf
SAMN22335676	leaf and stem	leaf
SAMN22335675	leaf and stem	leaf
SAMN22335674	leaf and stem	leaf
SAMN22335673	leaf and stem	leaf
SAMN22335672	leaf and stem	leaf
SAMN22335671	leaf and stem	leaf
SAMN22335670	leaf and stem	leaf
SAMN22335669	leaf and stem	leaf
SAMN22335668	leaf and stem	leaf
SAMN22335667	leaf and stem	leaf
SAMN22335666	leaf and stem	leaf
SAMN22335665	leaf and stem	leaf
SAMN22335664	leaf and stem	leaf
SAMN22335663	leaf and stem	leaf
SAMN22335662	leaf and stem	leaf
SAMN22335661	leaf and stem	leaf
SAMN22335660	leaf and stem	leaf
SAMN22335659	leaf and stem	leaf
SAMN22335658	leaf and stem	leaf
SAMN22335657	leaf and stem	leaf
SAMN22335656	leaf and stem	leaf
SAMN22335655	leaf and stem	leaf
SAMN22335654	leaf and stem	leaf
SAMN22335653	leaf and stem	leaf
SAMN22335652	leaf and stem	leaf
SAMN22335651	leaf and stem	leaf
SAMN22335650	leaf and stem	leaf
SAMN22335649	leaf and stem	leaf
SAMN22335648	leaf and stem	leaf
SAMN22335647	leaf and stem	leaf
SAMN22335646	leaf and stem	leaf
SAMN22335645	leaf and stem	leaf
SAMN22335644	leaf and stem	leaf
SAMN22335643	leaf and stem	leaf
SAMN22335642	leaf and stem	leaf
SAMN22335641	leaf and stem	leaf
SAMN22335640	leaf and stem	leaf
SAMN22335639	leaf and stem	leaf
SAMN22335638	leaf and stem	leaf
SAMN22335637	leaf and stem	leaf
SAMN22335636	leaf and stem	leaf
SAMN22335635	leaf and stem	leaf
SAMN22335634	leaf and stem	leaf
SAMN22335633	leaf and stem	leaf
SAMN22335632	leaf and stem	leaf
SAMN22335631	leaf and stem	leaf
SAMN22335630	leaf and stem	leaf
SAMN26197396	Leaf	leaf
SAMN26197395	Leaf	leaf
SAMN22513576	leaf and stem	leaf
SAMN22417717	leaf and stem	leaf
SAMN22074183	leaf and stem	leaf
SAMN22074182	leaf and stem	leaf
SAMN22074181	leaf and stem	leaf
SAMN22074180	leaf and stem	leaf
SAMN22074179	leaf and stem	leaf
SAMN22074178	leaf and stem	leaf
SAMN22074177	leaf and stem	leaf
