stratum	Run	mode	BioSample	BioProject	named_host	host_pct	euk_pct	fungi_pct	oomycete_pct	stat_pathogens	co_infection_flag	same_genus_secondary	llm_treatment	llm_study_setting	expected
F	ERR3170262	mal	SAMEA5366384	PRJEB31334	Triticum aestivum	14.2	3.85	3.85	0.0	Puccinia striiformis:1.3%; Puccinia striiformis f. sp. tritici:0.7%	single	False	single	field	single pathogen, field
F	SRR1555123	mal	SAMN02943226	PRJNA256347	Triticum aestivum	4.97	0.26	0.26	0.0		single	False	surveillance	field	single pathogen, field
F	SRR8742912	hal	SAMN11159807	PRJNA527782	Sorghum bicolor	60.42	2.49	2.49	0.0	Alternaria alternata:1.7%	single	False	abiotic_stress	field	single pathogen, field
F	SRR1975193	hal	SAMN03486532	PRJNA281236	Vitis vinifera	15.71	5.93	5.93	0.0	Botrytis cinerea:5.4%	single	False	abiotic_stress	field	single pathogen, field
F	ERR4315496	mal	SAMEA7036138	PRJEB39201	Triticum aestivum	23.42	0.28	0.28	0.0		single	False	surveillance	field	single pathogen, field
F	ERR2593125	mal	SAMEA4681388	PRJEB26891	Oryza sativa	37.46	43.58	43.58	0.0		single	False	single	field	single pathogen, field
F	ERR2593106	mal	SAMEA4681389	PRJEB26891	Oryza sativa	49.09	0.79	0.79	0.0		single	False	single	field	single pathogen, field
F	SRR9684521	mal	SAMN12256604	PRJNA554133	Lolium perenne	21.63	0.49	0.49	0.0		single	False	single	field	single pathogen, field
F	ERR2593121	mal	SAMEA4681388	PRJEB26891	Oryza sativa	38.71	42.99	42.99	0.0		single	False	single	field	single pathogen, field
F	SRR27326545	hal	SAMN39079228	PRJNA1055939	Arabidopsis thaliana	56.2	10.74	10.74	0.0	Colletotrichum higginsianum:5.3%	single	False	host_study	field	single pathogen, field
F	SRR31244754	hal	SAMN44590926	PRJNA1182403	Malus domestica	73.04	21.21	21.21	0.0	Penicillium expansum:14.2%	single	False	host_study	field	single pathogen, field
