BioProject	search	text	outcome
PRJNA1266229	Web search	No OA copy found	No full text available
PRJNA1221773	No DOI found	No DOI	No full text available
PRJNA1314945	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA936832	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA391024	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA667164	No DOI found	No DOI	No full text available
PRJNA629966	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA906029	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA625627	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJEB34944	No DOI found	No DOI	No full text available
PRJNA1262333	No DOI found	No DOI	No full text available
PRJNA1088419	No DOI found	No DOI	No full text available
PRJNA563868	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA715088	No DOI found	No DOI	No full text available
PRJNA745147	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA776278	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA294128	No DOI found	No DOI	No full text available
PRJEB10406	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA533801	No DOI found	No DOI	No full text available
PRJNA349155	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA357594	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJEB21682	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA887919	No DOI found	No DOI	No full text available
PRJNA1462132	No DOI found	No DOI	No full text available
PRJNA730888	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA725619	Web search	Unpaywall PDF	Full text retrieved
PRJNA778182	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA438132	No DOI found	No DOI	No full text available
PRJNA504749	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA517178	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA971242	NCBI (PMID)	PMC OA	Full text retrieved
PRJEB51973	Web search	Unpaywall PDF	Full text retrieved
PRJNA378602	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA1207602	No DOI found	No DOI	No full text available
PRJNA980182	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA576276	No DOI found	No DOI	No full text available
PRJDB5677	No DOI found	No DOI	No full text available
PRJNA450305	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1008994	No DOI found	No DOI	No full text available
PRJNA1218812	No DOI found	No DOI	No full text available
PRJNA1031710	No DOI found	No DOI	No full text available
PRJEB107162	No DOI found	No DOI	No full text available
PRJEB107075	No DOI found	No DOI	No full text available
