BioProject	search	text	outcome
PRJNA808246	Web search	Manual PDF	Full text retrieved
PRJNA1043087	No DOI found	No DOI	No full text available
PRJNA1081807	NCBI (DOI only)	Manual PDF	Full text retrieved
PRJNA1465229	No DOI found	No DOI	No full text available
PRJEB75479	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA607790	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA791897	No DOI found	No DOI	No full text available
PRJNA773642	Web search	PMC OA	Full text retrieved
PRJNA796936	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1331714	No DOI found	No DOI	No full text available
PRJNA503094	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA542720	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA861798	No DOI found	No DOI	No full text available
PRJEB9490	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA911975	No DOI found	No DOI	No full text available
PRJNA491634	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA807078	No DOI found	No DOI	No full text available
PRJNA1158682	No DOI found	No DOI	No full text available
PRJNA1170257	No DOI found	No DOI	No full text available
PRJNA910466	No DOI found	No DOI	No full text available
PRJNA1054045	No DOI found	No DOI	No full text available
PRJNA1232637	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1124355	No DOI found	No DOI	No full text available
PRJNA524397	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA680190	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA961054	Web search	PMC OA	Full text retrieved
PRJNA1394657	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA388142	No DOI found	No DOI	No full text available
PRJNA606340	Web search	PMC OA	Full text retrieved
PRJNA1237933	Web search	Manual PDF	Full text retrieved
PRJNA525575	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA487146	No DOI found	No DOI	No full text available
PRJDB10741	NCBI (PMID)	No OA copy found	No full text available
PRJNA1290658	No DOI found	No DOI	No full text available
PRJNA802714	No DOI found	No DOI	No full text available
PRJNA605966	No DOI found	No DOI	No full text available
PRJNA271201	No DOI found	No DOI	No full text available
PRJNA287818	No DOI found	No DOI	No full text available
PRJNA530979	No DOI found	No DOI	No full text available
PRJNA1174433	No DOI found	No DOI	No full text available
PRJNA524449	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA996293	NCBI (PMID)	PMC OA	Full text retrieved
PRJDB16961	No DOI found	No DOI	No full text available
