count	tissue
1	Flower bud
1	Post anthesis flowers
1	Flower (mixture of pre and post anthesis flowers)
1	Stem3
1	Stem2
1	Stem1
1	Root3
1	Root2
1	Root1
1	Leaf3
1	Leaf2
1	Leaf1
1	limb
1	leaf tissue (inflorescence/bracts)
1	Diploid bud meristem
1	Thalli
1	Somatic Embryo
1	flower6
1	flower5
1	flower4
1	stem6
1	stem5
1	stem4
1	root6
1	root5
1	root4
1	flower3
1	flower2
1	flower1
1	stem3
1	stem2
1	stem1
1	root3
1	root2
1	root1
1	lateral branch
1	lead
1	herbarium samples
1	young leaves and fowering buds
1	Bulb scale
1	seedpod
1	anthers
1	ripe fruit
1	tissue
1	mature leaf tissue
1	vegetative shoots
1	young shoots with leaves and flower buds
1	seeding stem
1	seeding root
1	flowering leaf
1	Tuber
1	somatic embryogenesis
1	Fresh leafs
1	plant leaf
1	Foliar tissue
1	The roots with lateral roots were collected at 40 days after rooting initiation
1	The main root were collected at 20 days after rooting initiation
1	RNA-seq of Camellia sinensis var. assamica cv. Hainan-dayezhong
1	WGS of Camellia sinensis var. assamica cv. Hainan-dayezhong, Nanopore reads
1	WGS of Camellia sinensis var. assamica cv. Hainan-dayezhong, illumina reads
1	seed3
1	seed2
1	seed1
1	endosperm6
1	endosperm5
1	endosperm4
1	endosperm3
1	endosperm2
1	endosperm1
1	WGS of Ottelia acuminata var. jingxiensis
1	longan pulp
1	multi-branch plasticity6
1	multi-branch plasticity5
1	multi-branch plasticity4
1	multi-branch plasticity3
1	multi-branch plasticity2
1	multi-branch plasticity1
1	Vegetative and reproductive meristem tissue
1	root, leaf, fruit, flower
1	Seedling leaves
1	Leaf chloroplast genes
1	SM rhizosphere soil
1	Herbarium leaves, flowers, and stems
1	Flowers and young leaves
1	herbarium epiderm
1	Hainan university
1	specimen
1	banana fruit(first emergence of the banana inflorescence)
1	plantlet treated with IBA
1	plantlet treated with TIBA
1	plantlet treated with IBA and TIBA
1	16 root
1	15 root
1	14 root
1	13 root
1	12 root
1	11 root
1	10 root
1	9 root
1	8 root
1	7 root
1	6 root
1	5 root
1	4 root
1	3 root
1	2 root
1	1 root
1	leaves -6
1	leaves -5
1	leaves -4
1	leaves -3
1	leaves -2
1	leaves -1
1	seedlings (whole)
1	seed (imbibed)
1	leaves18
1	top of the shoot
1	stem, leaf, flower, fruit, root
1	green leaf
1	mature leaf36
1	mature leaf35
1	mature leaf34
1	mature leaf33
1	mature leaf32
1	mature leaf31
1	mature leaf30
1	mature leaf29
1	mature leaf28
1	mature leaf27
1	mature leaf26
1	mature leaf25
1	mature leaf24
1	mature leaf23
1	mature leaf22
1	mature leaf21
1	mature leaf20
1	mature leaf19
1	mature leaf18
1	mature leaf17
1	mature leaf16
1	mature leaf15
1	mature leaf14
1	mature leaf13
1	mature leaf12
1	mature leaf11
1	mature leaf10
1	mature leaf9
1	mature leaf8
1	mature leaf7
1	mature leaf6
1	mature leaf5
1	mature leaf4
1	mature leaf3
1	mature leaf2
1	mature leaf1
1	roots and nodules
1	rachis
1	Epidermis
1	gametophyte
1	epidermal tissue
1	stamen
1	sepaloid tepals
1	pistil
1	petaloid tepals
1	pad epidermal tissue
1	fruit epidermal
1	apex
1	curd4.2
1	curd4.1
1	curd3.2
1	curd3.1
1	curd2.2
1	curd2.1
1	curd1.2
1	curd1.1
1	the first unfold leaves
1	fifth leaf at older age
1	fifth leaf at younger age
1	first leaf at older age
1	first leaf at younger age
1	young leaves for scRNA-seq
1	MeJA-treated leaves
1	stressed leaves
1	old stems
1	young stems
1	old roots
1	old flowers
1	primary roots
1	old leaves
1	leaves near buds
1	middle-aged leaves
1	young flowers
1	secondary roots
1	old buds
1	middle-aged buds
1	young buds
1	root leaf stem
1	Stem segments 12
1	Stem segments 11
1	Stem segments 10
1	Stem segments 9
1	Stem segments 8
1	Stem segments 7
1	Stem segments 6
1	Stem segments 5
1	Stem segments 4
1	Stem segments 3
1	Stem segments 2
1	Stem segments 1
1	Pitcher leaf
1	nodal stems and apical buds
1	Sterile Leaf
1	subterranean seed
1	subterranean pod shell
1	subterranean stem
1	aerial seed
1	aerial pod shell
1	aerial stem
1	stem tip Pp_3
1	stem tip Pp_2
