# Unpaywall coverage — 725 unique DOIs
doi	bp	has_methods	is_oa	status	host	version	pdf_url
10.1128/mBio.00454-19	PRJNA516028	True	True	gold	publisher	publishedVersion	https://doi.org/10.1128/mbio.00454-19
10.3389/fpls.2022.874654	PRJNA694214	True	True	gold	publisher	publishedVersion	https://doi.org/10.3389/fpls.2022.874654
10.1111/mpp.13301	PRJNA844585	True	True	gold	publisher	publishedVersion	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/mpp.13301
10.3389/fpls.2017.02155	PRJNA415282	True	True	gold	publisher	publishedVersion	https://doi.org/10.3389/fpls.2017.02155
10.1186/s12864-025-12303-4	PRJNA1101711	True	True	gold	publisher	publishedVersion	https://doi.org/10.1186/s12864-025-12303-4
10.1038/s41564-020-0774-1	PRJNA490563	False	True	green	repository	submittedVersion	http://hdl.handle.net/10033/622488
10.3389/fpls.2026.1745952	PRJNA1256908	True	True	gold	publisher	publishedVersion	https://public-pages-files-2025.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2026.1745952/pdf
10.1038/s41598-019-40754-9	PRJNA357960	True	True	gold	publisher	publishedVersion	https://www.nature.com/articles/s41598-019-40754-9.pdf
10.1093/g3journal/jkaf252	PRJNA1287296	True	True	gold	publisher	publishedVersion	https://academic.oup.com/g3journal/advance-article-pdf/doi/10.1093/g3journal/jkaf252/64858531/jkaf252.pdf
10.1111/ppl.70702	PRJNA1246341	False	False	closed			
10.1094/MPMI-09-23-0146-FI	PRJNA1063333	False	True	gold	publisher	publishedVersion	https://apsjournals.apsnet.org/doi/pdf/10.1094/MPMI-09-23-0146-FI?download=true
10.7717/peerj.3237	PRJNA345005	True	True	gold	publisher	publishedVersion	https://doi.org/10.7717/peerj.3237
10.1128/spectrum.00264-22	PRJNA671670	True	True	gold	publisher	publishedVersion	https://doi.org/10.1128/spectrum.00264-22
10.1093/nar/gkab091	PRJNA672111	True	True	gold	publisher	publishedVersion	https://doi.org/10.1093/nar/gkab091
10.1186/s12870-025-06565-z	PRJNA1216589	True	True	gold	publisher	publishedVersion	https://doi.org/10.1186/s12870-025-06565-z
10.1128/spectrum.00754-23	PRJNA854212	True	True	gold	publisher	publishedVersion	https://doi.org/10.1128/spectrum.00754-23
10.1128/mSystems.00580-20	PRJNA664705	True	True	gold	publisher	publishedVersion	https://doi.org/10.1128/msystems.00580-20
10.1128/spectrum.00349-22	PRJNA698760	True	True	gold	publisher	publishedVersion	https://doi.org/10.1128/spectrum.00349-22
10.1186/s12915-023-01513-5	PRJNA904717	True	True	gold	publisher	publishedVersion	https://bmcbiol.biomedcentral.com/counter/pdf/10.1186/s12915-023-01513-5
10.3389/fpls.2022.1030720	PRJNA352824	True	True	gold	publisher	publishedVersion	https://www.frontiersin.org/articles/10.3389/fpls.2022.1030720/pdf
10.1093/femsmc/xtad025	PRJNA938757	True	True	gold	publisher	publishedVersion	https://academic.oup.com/femsmicrobes/advance-article-pdf/doi/10.1093/femsmc/xtad025/54974201/xtad025.pdf
