mode	Run	BioSample	BioProject	biosample_rep	sra_organism	stat_top_pathogen	stat_top_pct	meta_pathogen	mismatch_flag	bp_title
mal	SRR6924544	SAMN08828694	PRJNA448328	True	Botrytis cinerea	Botrytis cinerea	7.35	botrytis cinerea	all_match	Investigations on VELVET regulatory mutants confirm the role of host tissue acidification and secretion of proteins in the pathogenesis of Botrytis cinerea.
mal	SRR1557213	SAMN02943237	PRJNA256347	True	Puccinia striiformis f. sp. tritici			puccinia striiformis f. sp. tritici	stat_undetected	Field pathogenomics of PST-infected wheat and triticale
mal	SRR18253603	SAMN26502473	PRJNA813432	True	Heterodera glycines				stat_undetected	
mal	DRR438356	SAMD00575534	PRJDB15139	True	Colletotrichum orbiculare			colletotrichum orbiculare	stat_undetected	Transcriptome analysis of Colletotrichum orbiculare during host infection
mal	ERR3856836	SAMEA6512702	PRJEB36485	True	Puccinia striiformis f. sp. tritici			puccinia striiformis f. sp. tritici	stat_undetected	Pathogenomic analyses reveals a potential recent shift in the South African Puccinia striiformis f. sp. tritici population
mal	ERR12013056	SAMEA114317575	PRJEB65589	True	Puccinia graminis f. sp. tritici	Puccinia graminis	45.31		all_match	How to curtail the rise in wheat stem rust infections in western Europe
mal	SRR6940300	SAMN07685186	PRJNA408459	True	Bipolaris sorokiniana			cochliobolus sativus	stat_undetected	Cochliobolus sativus ND4008 - Brachypodium distachyon Gene Expression Profiling - 4008-1-3
mal	SRR7251391	SAMN09288184	PRJNA473896	True	Phytophthora sojae			phytophthora sojae	stat_undetected	RNA-seq reads of Phytophthora sojae Wildtype and PsMAD1 mutants
mal	ERR15005534	SAMEA117593018	PRJEB84390	True	Puccinia triticina			puccinia triticina	stat_undetected	k-mer-based GWAS reveals a candidate avirulence gene and structural variation in Puccinia triticina linked to gain of Lr20 virulence.
mal	SRR6242036	SAMN07836894	PRJNA415866	True	Puccinia graminis f. sp. tritici	Puccinia graminis	20.0	puccinia graminis	all_match	Genome sequencing of Australian pathotypes of Puccinia graminis f. sp tritici
mal	SRR28258135	SAMN40299584	PRJNA1085269	True	Aspergillus flavus				stat_undetected	RNA-Seq of A. flavus at different temperature, water activity, and CO2 levels
mal	SRR18253604	SAMN26502452	PRJNA813432	True	Heterodera glycines				stat_undetected	
mal	ERR12013036	SAMEA114317555	PRJEB65589	True	Puccinia graminis f. sp. tritici	Puccinia graminis	30.91		all_match	How to curtail the rise in wheat stem rust infections in western Europe
mal	SRR11696435	SAMN14839910	PRJNA605036	True	Puccinia triticina			puccinia triticina	stat_undetected	Genome-Wide Identification of Effector Candidates With Conserved Motifs From the Wheat Leaf Rust Fungus Puccinia triticina.
mal	SRR18253533	SAMN26502509	PRJNA813432	True	Heterodera glycines				stat_undetected	
mal	ERR13159060	SAMEA115652385	PRJEB75530	True	Fusarium graminearum PH-1			fusarium graminearum	stat_undetected	A spatial temporal RNA-seq of Fusarium graminearum during symptomless and symptomatic wheat infection
mal	SRR33330109	SAMN47951733	PRJNA1250817	True	Puccinia striiformis f. sp. tritici	Puccinia striiformis	18.98	puccinia striiformis f. sp. tritici	all_match	Rapid tracking of new Puccinia striiformis f. sp. tritici pathotypes using field pathogenomics
