label	species	n_single	n_multi	n_confirmed	family
Solanum_melongena	Solanum melongena	1	0	1	Solanaceae
Triticum_turgidum_subsp__durum_x_Triticum_dicoccoides	Triticum turgidum subsp. durum x Triticum dicoccoides	2	0	2	Poaceae
Ziziphus_jujuba	Ziziphus jujuba	2	0	2	
Panax_notoginseng	Panax notoginseng	1	0	1	
Lilium_akkusianum	Lilium akkusianum	1	0	1	
Triticum_urartu	Triticum urartu	1	0	1	Poaceae
Vitis_amurensis	Vitis amurensis	5	0	5	Vitaceae
Zea_mays_subsp__parviglumis	Zea mays subsp. parviglumis	1	0	1	Poaceae
Acer_truncatum	Acer truncatum	1	0	1	
Litchi_chinensis	Litchi chinensis	2	0	2	
Medicago_sativa_subsp__falcata	Medicago sativa subsp. falcata	4	0	4	Fabaceae
Pinus_sylvestris	Pinus sylvestris	5	0	5	
Pinus_contorta	Pinus contorta	1	0	1	
Hordeum_vulgare_subsp__spontaneum	Hordeum vulgare subsp. spontaneum	1	0	1	Poaceae
Triticum_monococcum	Triticum monococcum	1	0	1	Poaceae
Lilium_sp___Yelloween_	Lilium sp. 'Yelloween'	1	0	1	
Pyrus_communis	Pyrus communis	3	0	3	Rosaceae
Citrus_maxima	Citrus maxima	1	0	1	Rutaceae
Vitis_hybrid_cultivar	Vitis hybrid cultivar	1	0	1	Vitaceae
Gerbera_jamesonii	Gerbera jamesonii	1	0	1	Asteraceae
Lolium_arundinaceum	Lolium arundinaceum	1	0	1	Poaceae
Olea_europaea_subsp__europaea	Olea europaea subsp. europaea	1	0	1	
Lilium_longiflorum	Lilium longiflorum	1	0	1	
Lens_culinaris	Lens culinaris	1	0	1	Fabaceae
Vicia_faba	Vicia faba	1	0	1	Fabaceae
Atractylodes_macrocephala	Atractylodes macrocephala	1	0	1	Asteraceae
