Mode: HAL
NCBI_API_KEY set: yes
Runs from 01_sra:    559,328
STAT cache (shared): 304,311 entries total, 255,893 for this mode already cached
  Fetching STAT for 303,435 runs …
  [81,400/303,435] fetched  09:40:31
  [81,600/303,435] fetched  09:40:49
  [81,800/303,435] fetched  09:41:13
  [82,000/303,435] fetched  09:41:39
  [82,200/303,435] fetched  09:41:59
  [82,400/303,435] fetched  09:42:20
  [82,600/303,435] fetched  09:42:39
  [82,800/303,435] fetched  09:43:01
  [83,000/303,435] fetched  09:43:23
  [83,200/303,435] fetched  09:43:52
  [83,400/303,435] fetched  09:44:12
  [83,600/303,435] fetched  09:44:33
  [83,800/303,435] fetched  09:44:50
  [84,000/303,435] fetched  09:45:10
  [84,200/303,435] fetched  09:45:35
  [84,400/303,435] fetched  09:46:01
  [84,600/303,435] fetched  09:46:21
  [84,800/303,435] fetched  09:46:40
  [85,000/303,435] fetched  09:47:01
  [85,200/303,435] fetched  09:47:23
  [85,400/303,435] fetched  09:47:45
  [85,600/303,435] fetched  09:48:07
  [85,800/303,435] fetched  09:48:29
  [86,000/303,435] fetched  09:48:44
  [86,200/303,435] fetched  09:49:11
  [86,400/303,435] fetched  09:49:40
  [86,600/303,435] fetched  09:50:00
  [86,800/303,435] fetched  09:50:25
  [87,000/303,435] fetched  09:50:47
  [87,200/303,435] fetched  09:51:12
  [87,400/303,435] fetched  09:51:35
  STAT error ERR13658495: Failed after 5 retries: https://trace.ncbi.nlm.nih.gov/Traces/sra-db-be/run_taxonomy?acc=ERR13658495&cluster_name=public
  [87,600/303,435] fetched  09:52:02
  [87,800/303,435] fetched  09:52:29
  [88,000/303,435] fetched  09:52:50
  [88,200/303,435] fetched  09:53:11
  [88,400/303,435] fetched  09:53:33
  [88,600/303,435] fetched  09:53:59
  [88,800/303,435] fetched  09:54:24
  [89,000/303,435] fetched  09:54:55
  [89,200/303,435] fetched  09:55:13
  [89,400/303,435] fetched  09:55:35
  [89,600/303,435] fetched  09:55:59
  [89,800/303,435] fetched  09:56:19
  [90,000/303,435] fetched  09:56:37
  [90,200/303,435] fetched  09:57:03
  [90,400/303,435] fetched  09:57:22
  [90,600/303,435] fetched  09:57:43
  [90,800/303,435] fetched  09:58:02
  [91,000/303,435] fetched  09:58:24
  [91,200/303,435] fetched  09:58:43
  [91,400/303,435] fetched  09:59:08
  [91,600/303,435] fetched  09:59:29
  [91,800/303,435] fetched  09:59:50
  [92,000/303,435] fetched  10:00:10
  [92,200/303,435] fetched  10:00:31
  [92,400/303,435] fetched  10:00:55
  [92,600/303,435] fetched  10:01:17
  [92,800/303,435] fetched  10:01:39
  [93,000/303,435] fetched  10:02:03
  [93,200/303,435] fetched  10:02:23
  [93,400/303,435] fetched  10:02:44
  [93,600/303,435] fetched  10:03:07
  [93,800/303,435] fetched  10:03:27
  [94,000/303,435] fetched  10:03:55
  [94,200/303,435] fetched  10:04:20
  [94,400/303,435] fetched  10:04:37
  [94,600/303,435] fetched  10:04:53
  [94,800/303,435] fetched  10:05:19
  [95,000/303,435] fetched  10:05:41
  [95,200/303,435] fetched  10:06:00
  [95,400/303,435] fetched  10:06:22
  [95,600/303,435] fetched  10:06:41
  [95,800/303,435] fetched  10:06:58
  [96,000/303,435] fetched  10:07:18
  [96,200/303,435] fetched  10:07:38
  [96,400/303,435] fetched  10:07:58
  [96,600/303,435] fetched  10:08:21
  [96,800/303,435] fetched  10:08:45
  [97,000/303,435] fetched  10:09:05
  [97,200/303,435] fetched  10:09:25
  [97,400/303,435] fetched  10:09:44
  [97,600/303,435] fetched  10:10:06
  [97,800/303,435] fetched  10:10:25
  [98,000/303,435] fetched  10:10:47
  [98,200/303,435] fetched  10:11:06
  [98,400/303,435] fetched  10:11:22
  [98,600/303,435] fetched  10:11:50
  [98,800/303,435] fetched  10:12:17
  [99,000/303,435] fetched  10:12:35
  [99,200/303,435] fetched  10:12:57
  [99,400/303,435] fetched  10:13:19
  STAT error ERR13658519: Failed after 5 retries: https://trace.ncbi.nlm.nih.gov/Traces/sra-db-be/run_taxonomy?acc=ERR13658519&cluster_name=public
  [99,600/303,435] fetched  10:13:38
  [99,800/303,435] fetched  10:14:00
  [100,000/303,435] fetched  10:14:28
  [100,200/303,435] fetched  10:14:53
  [100,400/303,435] fetched  10:15:19
  [100,600/303,435] fetched  10:15:38
  [100,800/303,435] fetched  10:15:55
  [101,000/303,435] fetched  10:16:16
  [101,200/303,435] fetched  10:16:36
  [101,400/303,435] fetched  10:16:58
  [101,600/303,435] fetched  10:17:19
  [101,800/303,435] fetched  10:17:38
  [102,000/303,435] fetched  10:18:06
  [102,200/303,435] fetched  10:18:25
  [102,400/303,435] fetched  10:18:50
  [102,600/303,435] fetched  10:19:16
  [102,800/303,435] fetched  10:19:37
  [103,000/303,435] fetched  10:20:05
  [103,200/303,435] fetched  10:20:31
  [103,400/303,435] fetched  10:21:05
  [103,600/303,435] fetched  10:21:33
  [103,800/303,435] fetched  10:21:59
  [104,000/303,435] fetched  10:22:22
  STAT error ERR13658523: Failed after 5 retries: https://trace.ncbi.nlm.nih.gov/Traces/sra-db-be/run_taxonomy?acc=ERR13658523&cluster_name=public
  [104,200/303,435] fetched  10:22:43
  [104,400/303,435] fetched  10:23:09
  [104,600/303,435] fetched  10:23:38
  [104,800/303,435] fetched  10:24:06
  [105,000/303,435] fetched  10:24:33
  [105,200/303,435] fetched  10:24:53
  [105,400/303,435] fetched  10:25:15
  [105,600/303,435] fetched  10:25:35
  [105,800/303,435] fetched  10:25:58
  [106,000/303,435] fetched  10:26:22
  [106,200/303,435] fetched  10:26:43
  [106,400/303,435] fetched  10:27:02
  [106,600/303,435] fetched  10:27:22
  [106,800/303,435] fetched  10:27:40
  [107,000/303,435] fetched  10:27:56
  [107,200/303,435] fetched  10:28:16
  [107,400/303,435] fetched  10:28:35
  [107,600/303,435] fetched  10:28:57
  [107,800/303,435] fetched  10:29:17
  [108,000/303,435] fetched  10:29:36
  [108,200/303,435] fetched  10:29:56
  [108,400/303,435] fetched  10:30:11
  [108,600/303,435] fetched  10:30:30
  [108,800/303,435] fetched  10:30:52
  [109,000/303,435] fetched  10:31:14
  [109,200/303,435] fetched  10:31:34
  [109,400/303,435] fetched  10:31:55
  [109,600/303,435] fetched  10:32:14
  [109,800/303,435] fetched  10:32:30
  [110,000/303,435] fetched  10:32:48
  [110,200/303,435] fetched  10:33:06
  [110,400/303,435] fetched  10:33:29
  [110,600/303,435] fetched  10:33:46
  [110,800/303,435] fetched  10:34:07
  [111,000/303,435] fetched  10:34:25
  [111,200/303,435] fetched  10:34:42
  [111,400/303,435] fetched  10:35:02
  [111,600/303,435] fetched  10:35:23
  [111,800/303,435] fetched  10:35:42
  [112,000/303,435] fetched  10:36:00
  [112,200/303,435] fetched  10:36:18
  [112,400/303,435] fetched  10:36:38
  [112,600/303,435] fetched  10:36:56
  [112,800/303,435] fetched  10:37:15
  [113,000/303,435] fetched  10:37:31
  [113,200/303,435] fetched  10:37:55
  [113,400/303,435] fetched  10:38:16
  [113,600/303,435] fetched  10:38:41
  [113,800/303,435] fetched  10:38:59
  [114,000/303,435] fetched  10:39:20
  [114,200/303,435] fetched  10:39:35
  [114,400/303,435] fetched  10:40:51
  [114,600/303,435] fetched  10:41:09
  [114,800/303,435] fetched  10:41:27
  [115,000/303,435] fetched  10:41:43
  [115,200/303,435] fetched  10:42:02
  [115,400/303,435] fetched  10:42:24
  [115,600/303,435] fetched  10:42:45
  [115,800/303,435] fetched  10:43:04
  [116,000/303,435] fetched  10:43:22
  [116,200/303,435] fetched  10:43:42
  [116,400/303,435] fetched  10:44:02
  [116,600/303,435] fetched  10:44:29
  [116,800/303,435] fetched  10:44:48
