Run	BioProject	SRAStudy	Platform	ScientificName	host	host_pct	host_species_pct	primary_pathogen	primary_taxid	primary_pct	secondary_pathogens	secondary_kingdoms	n_secondary	known_interaction	co_infection_flag	same_genus_secondary	fungi_pct	virus_pct	bacteria_pct	oomycete_pct	nematode_pct	analyzed
SRR35332865	PRJNA1322505	SRP618954	ILLUMINA	Arabidopsis thaliana	Arabidopsis thaliana	64.33		Bipolaris sorokiniana	45130	7.65			0	False	single	False	10.614483849923438	0.0016420259707718677	0.31870501307384574	0.0001432405634077587	0.0	114492708
SRR18171582	PRJNA810908	SRP361825	ILLUMINA	Avena sativa	Avena sativa	8.11		Puccinia graminis	5297	12.84			0	False	single	False	12.974130412924328	0.0007941247083592399	0.4222588846549251	0.0012250450927402227	0.0	48732900
SRR11947556	PRJNA636958	SRP266378	ILLUMINA	Arabidopsis thaliana	Arabidopsis thaliana	66.51		Verticillium dahliae	27337	21.28			0	True	single	False	28.132124769909485	0.0007603360499893136	1.0556956974406502	3.0907969511760712e-06	0.0	32354115
SRR22523758	PRJNA907083	SRP411278	ILLUMINA	Glycine max	Glycine max	95.97		Sclerotinia sclerotiorum	5180	1.99			0	True	single	False	2.0281901482469613	1.8936465601484166e-05	0.048212241421378685	0.0	0.0	21123266
SRR13959611	PRJNA714266	SRP310519	ILLUMINA	Malus domestica	Malus domestica	82.66		Fusarium fujikuroi	5127	0.41			0	False	single	False	5.726416421109339	7.44606697346324e-05	0.8659263973033324	0.0	0.0	21487854
SRR17916418	PRJNA804213	SRP358739	ILLUMINA	Lactuca sativa	Lactuca sativa	66.84		Sclerotinia sclerotiorum	5180	10.01			0	True	single	False	11.190404197997239	0.0020057205324463053	0.22232083010248205	0.0	0.0	16552655
SRR29289947	PRJNA1120251	SRP511893	ILLUMINA	Chrysanthemum x morifolium	Chrysanthemum x morifolium	3.97		Chrysanthemum virus B	12165	18.91			0	True	single	False	7.345765551812071e-05	31.819141776180064	0.9011050602407868	0.0	0.0	29949227
SRR7265055	PRJNA473829	SRP149815	ILLUMINA	Arabidopsis thaliana	Arabidopsis thaliana	19.63		Botrytis cinerea	40559	1.9			0	True	single	False	2.081377880000532	0.0007312176768549663	0.14577821503117647	0.0	0.0	1504340
SRR32806004	PRJNA1240218	SRP572177	ILLUMINA	Zea mays	Zea mays	83.65		Ustilago maydis	5270	7.37			0	True	single	False	7.419056727364885	9.405100436127047e-06	0.6723580900448078	0.0	0.0	31897586
SRR32959954	PRJNA1245489	SRP576108	ILLUMINA	Gossypium hirsutum	Gossypium hirsutum	83.14		Verticillium dahliae	27337	6.53			0	True	single	False	9.218729041246004	0.00037880557551299746	0.7202648064658033	0.0	0.0	20591038
SRR36608492	PRJNA1394332	SRP658202	ILLUMINA	Beta vulgaris subsp. vulgaris	Beta vulgaris subsp. vulgaris	66.04		Benyvirus necrobetae	3427127	18.93			0	True	single	False	0.04717469436729922	20.25740740800303	0.5358258652320022	0.0	0.0	21763787
SRR31627693	PRJNA1194215	SRP549677	ILLUMINA	Solanum lycopersicum	Solanum lycopersicum	84.46		Botrytis cinerea	40559	7.81			0	True	single	False	8.728015752762465	5.595837592165444e-05	0.5323100464950151	0.0	0.0	50037192
SRR12169388	PRJNA644654	SRP270845	ILLUMINA	Oryza sativa Japonica Group	Oryza sativa Japonica Group	63.0		Fusarium verticillioides 7600	334819	1.38			0	False	single	False	1.7802534591570833	0.0022281132413748	2.2953580598275467	0.0	0.0	22171225
SRR8080642	PRJNA497474	SRP166175	ILLUMINA	Arachis hypogaea	Arachis hypogaea	89.62		Peanut stripe virus	28353	1.77			0	True	single	False	2.2520508864410097e-05	6.230911335180165	0.004733810963299002	0.0	0.0	22201985
SRR37874267	PRJNA1443533	SRP688195	ILLUMINA	Solanum tuberosum	Solanum tuberosum	68.22		Carlavirus sigmasolani	3427796	11.14			0	True	single	False	5.2936766909764524e-05	12.549039297446033	0.5308213941581672	0.0	0.0	24557601
SRR14865774	PRJNA739260	SRP324689	ILLUMINA	Nicotiana tabacum	Nicotiana tabacum	78.08		Tobacco vein banding mosaic virus	33765	17.4			0	True	single	False	0.005158174216551728	17.40282355563076	0.8128804245753135	0.0	0.0	33868573
SRR29290341	PRJNA1120176	SRP511907	ILLUMINA	Gossypium hirsutum	Gossypium hirsutum	91.66		Verticillium dahliae	27337	2.64			0	True	single	False	3.6599033225798716	0.00012435405024905006	0.3140201566789039	0.0	0.0	30557911
SRR7264843	PRJNA473829	SRP149815	ILLUMINA	Arabidopsis thaliana	Arabidopsis thaliana	19.59		Botrytis cinerea	40559	3.75			0	True	single	False	4.17203415103563	0.0	0.049268126212487814	0.0	0.0	1301044
SRR24415106	PRJNA966197	SRP435674	ILLUMINA	Daucus carota subsp. carota	Daucus carota subsp. carota	28.87		Carrot red leaf virus	66200	12.77			0	True	single	False	0.010225749238709612	19.870783416530315	0.6732215319902116	0.23570788526676617	0.0	36652571
SRR28785888	PRJNA1103879	SRP503684	ILLUMINA	Arabidopsis thaliana	Arabidopsis thaliana	15.16		Turnip crinkle virus	11988	33.48			0	True	single	False	4.576842322060952e-05	33.50113562900116	20.57972573272385	0.0	0.0	4369825
SRR8309931	PRJNA509214	SRP173230	ILLUMINA	Triticum aestivum	Triticum aestivum	64.32		Fusarium graminearum	5518	1.37			0	True	single	False	2.0362856831820086	0.0005335345270108615	0.17991076598492284	0.0	0.0	27364677
SRR26038035	PRJNA1015548	SRP459881	ILLUMINA	Arabidopsis thaliana	Arabidopsis thaliana	93.07		Botrytis cinerea	40559	1.82			0	True	single	False	2.527151362692602	0.00015045761088438865	0.4604873963441097	3.959410812747069e-06	0.0	50512566
SRR31488140	PRJNA1190367	SRP547381	ILLUMINA	Zea mays	Zea mays	83.22		Ustilago maydis	5270	2.36			0	True	single	False	2.3814977960850374	0.00010198515836663333	1.5476216402087877	0.0	0.0	63734764
SRR37513063	PRJNA1433507	SRP681771	ILLUMINA	Beta vulgaris	Beta vulgaris	68.86		Cercospora beticola	122368	20.19			0	True	single	False	22.974061741449074	0.010196258115756958	0.21142559589833432	0.0	0.0	52636957
ERR14835959	PRJEB88178	ERP171315	ILLUMINA	Arabidopsis thaliana	Arabidopsis thaliana	17.77		Sclerotinia sclerotiorum	5180	60.76			0	True	single	False	67.23468950011592	0.03111312628906506	1.8608205569088216	8.723714086377419e-06	0.0	22926015
SRR30310352	PRJNA1150077	SRP527476	ILLUMINA	Arabidopsis thaliana	Arabidopsis thaliana	56.93		Tomato mottle mosaic virus	1391702	6.76			0	True	single	False	0.0051428849291175836	32.091474553442794	0.31454835511556734	2.9727658549812618e-05	0.0	23547095
SRR37072223	PRJNA1417095	SRP673982	ILLUMINA	Fragaria x ananassa	Fragaria x ananassa	32.02		Botrytis cinerea	40559	46.97			0	True	single	False	56.74646315267692	2.977051270673142	0.06827333265728583	0.0	0.0	20540963
SRR7264833	PRJNA473829	SRP149815	ILLUMINA	Arabidopsis thaliana	Arabidopsis thaliana	22.39		Botrytis cinerea	40559	1.51			0	True	single	False	1.6586065814402755	0.0010024387903714322	0.09516008231454524	0.0	0.0	1396594
SRR23261123	PRJNA929034	SRP419852	ILLUMINA	Arabidopsis thaliana	Arabidopsis thaliana	46.64		Pseudomonas aeruginosa	287	1.81			0	True	single	False	7.488615198724914e-05	0.0007675830578693036	17.776549644885186	5.6164613990436855e-05	0.0	10682883
SRR23261124	PRJNA929034	SRP419852	ILLUMINA	Arabidopsis thaliana	Arabidopsis thaliana	46.16		Pseudomonas aeruginosa	287	1.81			0	True	single	False	4.6640942632106974e-05	0.0007835678362193972	18.535828872515843	6.529731968494976e-05	0.0	10720195
SRR17267251	PRJNA789389	SRP351442	ILLUMINA	Glycine max	Glycine max	80.23		Sclerotinia sclerotiorum	5180	7.01			0	True	single	False	7.2238819517443655	0.0013042436110751914	0.4923201523611025	0.0	0.0	18861507
SRR30570088	PRJNA1156254	SRP531009	DNBSEQ	Triticum aestivum	Triticum aestivum	35.76		Fusarium graminearum	5518	0.51			0	True	single	False	55.79346829116575	4.223466696426675	0.26887522704423833	0.0	0.0	63082420
SRR7267091	PRJNA473829	SRP149815	ILLUMINA	Arabidopsis thaliana	Arabidopsis thaliana	21.01		Botrytis cinerea	40559	1.55			0	True	single	False	1.6289676030756675	0.00048007297109160595	0.06905049567534265	0.0	0.0	1249810
SRR29384833	PRJNA1123450	SRP513640	ILLUMINA	Zea mays	Zea mays	33.88		Ustilago maydis	5270	3.42			0	True	single	False	3.6095439812111927	6.180882449962061e-05	0.4823050069313222	0.0	0.0	37211515
SRR7170800	PRJNA471653	SRP147283	ILLUMINA	Populus x canadensis	Populus x canadensis	63.03		Fusarium verticillioides	117187	0.1			0	False	single	False	3.9165634902472704	0.0001255314846144219	2.0272769873548366	0.0	0.0	31864516
ERR10886922	PRJEB59062	ERP144138	ILLUMINA	Triticum aestivum	Triticum aestivum	84.07		Fusarium graminearum	5518	6.73			0	True	single	False	10.093107651998757	1.7115761750954596e-05	0.3483494919119563	0.0	0.0	52583111
SRR3383775	PRJNA315516	SRP073212	ILLUMINA	Arabidopsis thaliana	Arabidopsis thaliana	67.67		Botrytis cinerea	40559	3.92			0	True	single	False	4.495254704605836	0.0	0.09955178103678752	0.0	0.0	10807441
SRR29665063	PRJNA1129295	SRP517267	ILLUMINA	Zea mays	Zea mays	88.14		Ustilago maydis	5270	1.72			0	True	single	False	1.7414820792763575	0.01535869629835467	1.060044793703506	0.0	0.0	22052653
SRR21082822	PRJNA869950	SRP392479	BGISEQ	Glycine max	Glycine max	79.76		Phytophthora sojae	67593	5.02			0	True	single	False	0.00010744079954968631	0.0006137148701550264	0.2749442618294518	5.540422500851305	0.0	61429178
ERR3627233	PRJEB14966	ERP016648	ILLUMINA	Solanum tuberosum	Solanum tuberosum	9.87		Phytophthora infestans	4787	70.6			0	True	single	False	0.0003082198926067057	0.0006122558047707865	1.9637414581249943	73.23029342422204	0.0	71702056
SRR6186198	PRJNA414570	SRP120271	ILLUMINA	Rosa hybrid cultivar	Rosa hybrid cultivar	90.08		Botrytis cinerea	40559	2.02			0	True	single	False	2.4840605589563407	0.0012760973687985628	0.026870842245674438	0.0	0.0	23352450
SRR16611326	PRJNA775969	SRP343617	ILLUMINA	Solanum lycopersicum	Solanum lycopersicum	78.92		Fusarium oxysporum	5507	7.11			0	True	single	False	12.277027213152438	0.00022417201212428627	0.42311137454488806	0.0	0.0	26319075
SRR3098378	PRJNA308408	SRP068333	ILLUMINA	Zea mays	Zea mays	77.5		Fusarium graminearum	5518	3.6			0	True	single	False	5.591390728973433	0.006241344244802826	0.04076486116268168	0.0	0.0	17336009
SRR7266163	PRJNA473829	SRP149815	ILLUMINA	Arabidopsis thaliana	Arabidopsis thaliana	15.77		Botrytis cinerea	40559	2.35			0	True	single	False	2.564617980769134	0.00020101249996231016	0.1396031812238244	0.0	0.0	994963
SRR32622708	PRJNA1195373	SRP568925	ILLUMINA	Gossypium hirsutum	Gossypium hirsutum	90.67		Verticillium dahliae	27337	1.05			0	True	single	False	1.3129431731590628	0.000501771691394574	0.5282597126081922	0.0	0.0	21723027
SRR5871162	PRJNA395908	SRP113615	ILLUMINA	Zea mays	Zea mays	34.19		Aspergillus flavus	5059	4.95			0	True	single	False	50.746939024518724	4.040204510179746e-05	0.26413924732668215	0.0	0.0	32176589
SRR8191354	PRJNA505650	SRP168752	ILLUMINA	Solanum lycopersicum	Solanum lycopersicum	30.65		Botrytis cinerea	40559	1.14			0	True	single	False	1.329727401183217	0.07513200857632787	0.06151243704586521	0.0	0.0	16490974
SRR8984110	PRJNA540228	SRP194111	ILLUMINA	Hordeum vulgare	Hordeum vulgare	11.54		Puccinia graminis	5297	36.06			0	False	single	False	36.12481270833916	4.0765668586032505e-05	3.655303301537057	0.0	0.0	56420024
SRR24019248	PRJNA950405	SRP430166	ILLUMINA	Glycine max	Glycine max	65.85		Pantoea ananatis	553	3.65			0	False	single	False	0.0061176524508138475	0.001786839082168401	16.259311942783192	0.0	0.0	19811521
